iter	Passed	Remaining
0	3	3674
1	5	2917
2	9	3002
3	12	3049
4	14	2979
5	17	2828
6	20	2887
7	23	2858
8	24	2654
9	28	2776
10	30	2712
11	32	2673
12	35	2681
13	38	2680
14	40	2627
15	43	2695
16	46	2682
17	49	2673
18	51	2664
19	53	2641
20	58	2709
21	61	2724
22	62	2666
23	64	2623
24	66	2605
25	68	2570
26	70	2535
27	72	2516
28	75	2527
29	78	2523
30	81	2544
31	84	2556
32	86	2525
33	89	2538
34	92	2553
35	95	2544
36	97	2535
37	101	2558
38	103	2545
39	106	2552
40	109	2564
41	112	2561
42	113	2532
43	116	2531
44	118	2520
45	121	2514
46	124	2520
47	125	2488
48	126	2460
49	128	2436
50	130	2430
51	133	2433
52	134	2408
53	137	2402
54	139	2403
55	140	2375
56	142	2361
57	144	2354
58	147	2359
59	150	2350
60	151	2329
61	154	2333
62	158	2352
63	160	2348
64	164	2359
65	166	2353
66	169	2358
67	171	2354
68	173	2340
69	174	2317
70	176	2303
71	179	2310
72	181	2303
73	184	2308
74	187	2311
75	188	2291
76	189	2273
77	191	2266
78	194	2264
79	197	2273
80	199	2264
81	203	2273
82	205	2265
83	207	2257
84	209	2256
85	212	2255
86	214	2254
87	217	2251
88	220	2254
89	222	2248
90	224	2245
91	237	2342
92	241	2357
93	243	2351
94	246	2351
95	249	2346
96	253	2356
97	256	2363
98	260	2371
99	263	2374
100	265	2365
101	268	2364
102	271	2362
103	273	2355
104	274	2341
105	277	2338
106	279	2333
107	281	2326
108	284	2324
109	287	2323
110	289	2321
111	293	2323
112	295	2320
113	297	2315
114	300	2312
115	302	2305
116	304	2297
117	306	2289
118	309	2290
119	312	2291
120	314	2286
121	317	2284
122	319	2279
123	322	2279
124	325	2278
125	328	2279
126	331	2279
127	333	2271
128	335	2265
129	337	2260
130	339	2252
131	342	2250
132	343	2237
133	345	2230
134	348	2232
135	350	2228
136	351	2213
137	352	2200
138	353	2189
139	354	2178
140	357	2175
141	359	2170
142	361	2168
143	364	2165
144	366	2164
145	368	2155
146	370	2148
147	373	2150
148	376	2147
149	381	2160
150	385	2166
151	388	2166
152	391	2165
153	392	2158
154	394	2152
155	398	2155
156	400	2151
157	403	2148
158	406	2151
159	409	2149
160	412	2149
161	414	2142
162	416	2138
163	417	2126
164	418	2115
165	421	2118
166	423	2112
167	425	2108
168	428	2106
169	431	2105
170	433	2102
171	435	2097
172	438	2096
173	440	2093
174	443	2092
175	450	2107
176	454	2112
177	456	2107
178	459	2107
179	461	2104
180	464	2102
181	465	2090
182	467	2086
183	469	2081
184	471	2076
185	473	2071
186	475	2068
187	478	2065
188	480	2062
189	483	2059
190	486	2059
191	488	2055
192	490	2049
193	492	2047
194	495	2043
195	495	2034
196	497	2029
197	500	2028
198	503	2025
199	505	2022
200	508	2023
201	510	2017
202	513	2014
203	516	2013
204	517	2008
205	520	2004
206	522	2002
207	526	2003
208	528	2001
209	531	1999
210	533	1994
211	535	1990
212	537	1986
213	540	1987
214	543	1983
215	545	1980
216	549	1981
217	551	1978
218	554	1975
219	556	1973
220	559	1970
221	561	1966
222	565	1969
223	567	1964
224	569	1961
225	570	1953
226	572	1950
227	574	1946
228	577	1943
229	580	1942
230	582	1940
231	583	1933
232	587	1932
233	590	1931
234	592	1929
235	596	1930
236	598	1926
237	600	1921
238	602	1918
239	605	1917
240	607	1913
241	609	1910
242	612	1907
243	614	1904
244	616	1898
245	619	1897
246	622	1898
247	625	1897
248	629	1897
249	631	1893
250	633	1889
251	636	1889
252	640	1891
253	643	1890
254	646	1889
255	649	1886
256	652	1885
257	653	1880
258	655	1876
259	658	1874
260	661	1872
261	663	1867
262	665	1864
263	667	1862
264	670	1858
265	672	1854
266	674	1852
267	677	1850
268	679	1845
269	681	1842
270	684	1842
271	686	1838
272	689	1834
273	691	1833
274	694	1831
275	697	1828
276	700	1828
277	702	1825
278	704	1821
279	708	1820
280	710	1817
281	712	1814
282	714	1810
283	717	1809
284	719	1804
285	720	1799
286	723	1798
287	726	1795
288	729	1793
289	732	1794
290	735	1791
291	737	1788
292	740	1786
293	742	1783
294	744	1780
295	747	1778
296	749	1775
297	752	1771
298	756	1772
299	758	1769
300	760	1767
301	764	1766
302	766	1762
303	768	1759
304	771	1757
305	773	1754
306	776	1752
307	779	1750
308	781	1747
309	784	1745
310	786	1742
311	788	1739
312	791	1736
313	793	1733
314	796	1732
315	798	1728
316	800	1725
317	803	1723
318	806	1722
319	809	1720
320	812	1718
321	814	1715
322	816	1711
323	819	1710
324	822	1708
325	825	1705
326	828	1704
327	831	1703
328	836	1706
329	839	1703
330	841	1700
331	844	1700
332	847	1697
333	850	1695
334	852	1692
335	854	1689
336	857	1686
337	859	1684
338	862	1681
339	864	1678
340	866	1674
341	869	1672
342	872	1670
343	874	1667
344	876	1664
345	879	1661
346	882	1660
347	885	1658
348	887	1655
349	889	1652
350	893	1651
351	896	1650
352	899	1647
353	902	1646
354	904	1642
355	906	1640
356	909	1638
357	912	1635
358	914	1633
359	916	1629
360	918	1626
361	920	1623
362	924	1621
363	926	1618
364	927	1614
365	930	1612
366	932	1609
367	935	1606
368	937	1603
369	940	1601
370	942	1597
371	945	1595
372	948	1593
373	950	1590
374	952	1587
375	955	1585
376	957	1582
377	959	1579
378	963	1578
379	965	1575
380	968	1573
381	971	1571
382	973	1568
383	975	1565
384	978	1562
385	981	1560
386	983	1557
387	985	1554
388	990	1555
389	991	1551
390	993	1547
391	996	1546
392	998	1542
393	1000	1538
394	1002	1535
395	1005	1533
396	1008	1531
397	1011	1529
398	1015	1528
399	1017	1525
400	1020	1524
401	1022	1521
402	1027	1522
403	1032	1523
404	1035	1521
405	1038	1519
406	1040	1515
407	1042	1512
408	1046	1511
409	1048	1508
410	1051	1506
411	1055	1505
412	1057	1502
413	1060	1500
414	1062	1498
415	1065	1495
416	1067	1492
417	1070	1490
418	1072	1486
419	1073	1483
420	1077	1481
421	1079	1478
422	1081	1474
423	1083	1472
424	1087	1470
425	1089	1467
426	1091	1465
427	1093	1461
428	1096	1459
429	1098	1456
430	1102	1454
431	1104	1452
432	1106	1448
433	1108	1446
434	1110	1442
435	1113	1440
436	1117	1439
437	1119	1436
438	1121	1433
439	1125	1432
440	1127	1429
441	1129	1425
442	1130	1421
443	1133	1419
444	1136	1417
445	1138	1413
446	1141	1411
447	1143	1409
448	1158	1421
449	1162	1420
450	1167	1421
451	1171	1420
452	1177	1421
453	1179	1418
454	1182	1416
455	1184	1413
456	1187	1410
457	1189	1407
458	1192	1405
459	1194	1402
460	1197	1400
461	1200	1397
462	1201	1394
463	1206	1393
464	1235	1421
465	1239	1419
466	1241	1417
467	1244	1414
468	1249	1414
469	1253	1413
470	1257	1411
471	1259	1408
472	1262	1406
473	1265	1403
474	1267	1400
475	1269	1397
476	1272	1395
477	1275	1392
478	1277	1389
479	1280	1387
480	1282	1384
481	1285	1381
482	1287	1378
483	1290	1375
484	1292	1372
485	1295	1370
486	1298	1367
487	1300	1364
488	1303	1362
489	1306	1359
490	1309	1357
491	1312	1355
492	1314	1352
493	1317	1349
494	1320	1346
495	1322	1343
496	1324	1340
497	1327	1338
498	1330	1335
