iter	Logloss	Accuracy
0	0.6739158964	0.81125
1	0.6557872836	0.81625
2	0.6391297629	0.815
3	0.6228843499	0.80875
4	0.6085804449	0.81
5	0.5973033051	0.81
6	0.5851468922	0.815
7	0.573960312	0.81625
8	0.5677323938	0.81125
9	0.5586386348	0.81125
10	0.5522885729	0.81375
11	0.5430407047	0.81375
12	0.535398936	0.81375
13	0.5282550492	0.81375
14	0.5216934464	0.8125
15	0.5127545441	0.81375
16	0.5042089458	0.81875
17	0.4986773428	0.82
18	0.4911053451	0.82125
19	0.4843150427	0.8225
20	0.4778509016	0.82375
21	0.4755477939	0.82125
22	0.4716647269	0.82125
23	0.4668100252	0.8225
24	0.4634868264	0.8225
25	0.4617697611	0.82125
26	0.4591879167	0.82125
27	0.4559413363	0.8225
28	0.452139673	0.82125
29	0.4492019868	0.8225
30	0.4451434151	0.82375
31	0.4421386296	0.825
32	0.4401426775	0.82625
33	0.4375802033	0.8275
34	0.4351391293	0.8275
35	0.4319314727	0.8275
36	0.4310711714	0.8275
37	0.4288870889	0.82875
38	0.4279495352	0.82875
39	0.4261301697	0.83
40	0.4245046465	0.82875
41	0.4240039041	0.82875
42	0.4234197026	0.82875
43	0.4224981951	0.82875
44	0.4217183989	0.82875
45	0.4195995664	0.82875
46	0.4167138342	0.82875
47	0.4162123429	0.82875
48	0.4158447405	0.82875
49	0.4157134755	0.82875
50	0.4149888151	0.82875
51	0.4138864154	0.8275
52	0.4134422392	0.82875
53	0.4127262129	0.82875
54	0.4123540282	0.82875
55	0.4122987325	0.82875
56	0.4109608667	0.82875
57	0.4096451229	0.8275
58	0.4087278166	0.8275
59	0.4076282827	0.8275
60	0.4073193346	0.8275
61	0.4053955328	0.82875
62	0.4037337322	0.82875
63	0.4033040158	0.82875
64	0.4022149993	0.83125
65	0.4015679907	0.8325
66	0.4012357852	0.8325
67	0.4002276825	0.83375
68	0.3999359813	0.835
69	0.3996947389	0.8325
70	0.3981586054	0.835
71	0.396745206	0.83625
72	0.3962452147	0.83625
73	0.3948702355	0.83375
74	0.3943677133	0.83625
75	0.3943126491	0.83625
76	0.3942070247	0.83625
77	0.3937731686	0.83625
78	0.3935140904	0.83625
79	0.392323445	0.83875
80	0.3918926937	0.83875
81	0.3912484074	0.84
82	0.3909595917	0.84
83	0.3902420304	0.83875
84	0.3899736306	0.83875
85	0.3889099707	0.83875
86	0.3882111291	0.83875
87	0.3874157302	0.84125
88	0.3862924867	0.84125
89	0.3858206219	0.83875
90	0.3851039856	0.84125
91	0.3845420856	0.83875
92	0.3840032459	0.84125
93	0.3836539355	0.84125
94	0.3832706928	0.84125
95	0.3826981592	0.84125
96	0.3823872497	0.84125
97	0.3819457912	0.84125
98	0.3815928724	0.84125
99	0.3806403392	0.84375
100	0.3802973549	0.84375
101	0.3801774571	0.8425
102	0.3797821457	0.84375
103	0.3796731985	0.84375
104	0.379619264	0.8425
105	0.3794291442	0.845
106	0.3790618403	0.84375
107	0.3787940515	0.845
108	0.3784878602	0.84625
109	0.3777031094	0.84625
110	0.377274267	0.84625
111	0.3769537285	0.84625
112	0.375745058	0.8475
113	0.3749136329	0.8475
114	0.3740656756	0.85125
115	0.3737057108	0.85125
116	0.3733438333	0.85125
117	0.3724928773	0.8525
118	0.3722622067	0.8525
119	0.3718430386	0.85375
120	0.3712625555	0.85375
121	0.3707133217	0.85375
122	0.3703932587	0.85375
123	0.3700419971	0.85375
124	0.3693026263	0.85375
125	0.3691303536	0.85375
126	0.3687426506	0.85375
127	0.3686095229	0.85375
128	0.3681090286	0.85375
129	0.3678525561	0.85375
130	0.3675287413	0.855
131	0.3669843764	0.855
132	0.3669841245	0.855
133	0.366726768	0.85625
134	0.3663713975	0.855
135	0.3657447393	0.85625
136	0.3657445548	0.85625
137	0.3656611706	0.85625
138	0.3656611421	0.85625
139	0.3656025236	0.85625
140	0.3651911522	0.85625
141	0.3649581639	0.85625
142	0.364740971	0.85625
143	0.3646038719	0.85625
144	0.3642847859	0.85625
145	0.3642421317	0.85625
146	0.3638233418	0.85625
147	0.3634013504	0.85625
148	0.3632061662	0.85625
149	0.3625628185	0.8575
150	0.3619171805	0.8575
151	0.3616635962	0.8575
152	0.3614706273	0.8575
153	0.3612269943	0.85625
154	0.3608202094	0.85625
155	0.3598253366	0.85625
156	0.3594265759	0.85625
157	0.3591012379	0.8575
158	0.3587190661	0.85875
159	0.3582304896	0.85875
160	0.3581612873	0.85875
161	0.3581190459	0.85875
162	0.3579696171	0.86
163	0.3579696082	0.86
164	0.3579062015	0.86
165	0.3577511439	0.8625
166	0.3574433132	0.86
167	0.3572435452	0.86
168	0.3569363469	0.86
169	0.3565906161	0.8625
170	0.3563397425	0.8625
171	0.356306223	0.8625
172	0.3562273896	0.8625
173	0.3560447789	0.86125
174	0.3556160209	0.8625
175	0.355368092	0.8625
176	0.3551464734	0.8625
177	0.354916617	0.8625
178	0.3545743332	0.8625
179	0.3542177935	0.8625
180	0.3539383827	0.8625
181	0.3539383826	0.8625
182	0.353791791	0.8625
183	0.3534884117	0.8625
184	0.3534347819	0.8625
185	0.352860231	0.8625
186	0.3522875434	0.865
187	0.3519651526	0.86875
188	0.3514850385	0.87
189	0.3512006176	0.86875
190	0.350791314	0.8675
191	0.3505357622	0.86875
192	0.350417907	0.86875
193	0.3500811343	0.8675
194	0.3496323485	0.8675
195	0.3496323482	0.8675
196	0.3493197554	0.8675
197	0.3490393799	0.86875
198	0.3486240508	0.8675
199	0.3481589901	0.8675
200	0.3480232968	0.8675
201	0.3479746715	0.8675
202	0.3476445903	0.86875
203	0.3473859299	0.86875
204	0.3473481428	0.86875
205	0.3471351967	0.86875
206	0.3469127138	0.87
207	0.3466804022	0.86875
208	0.3463455906	0.86875
209	0.3455816157	0.8675
210	0.3455164026	0.8675
211	0.3453106868	0.8675
212	0.3446139934	0.86875
213	0.3443472685	0.86875
214	0.3440919324	0.86875
215	0.3438193786	0.86875
216	0.3436761012	0.86875
217	0.3433856878	0.86875
218	0.3432339315	0.87
219	0.3431289239	0.87
220	0.34279091	0.87
221	0.3427437089	0.86875
222	0.3424993589	0.87
223	0.3420488904	0.87
224	0.3418527052	0.8725
225	0.3418526988	0.8725
226	0.3415061497	0.8725
227	0.3414012368	0.8725
228	0.3411036983	0.8725
229	0.3410640959	0.8725
230	0.3405577123	0.87375
231	0.340518838	0.87375
232	0.3399824927	0.87375
233	0.3395689304	0.87375
234	0.3392516542	0.87375
235	0.338535297	0.87375
236	0.3382244977	0.875
237	0.337694471	0.875
238	0.3376439521	0.875
239	0.3373348218	0.875
240	0.3372371106	0.875
241	0.336710931	0.87625
242	0.3366790454	0.87625
243	0.3361053493	0.87625
244	0.3357652952	0.87625
245	0.3355319196	0.87625
246	0.3347050373	0.87625
247	0.3343657276	0.8775
248	0.3342019489	0.87875
249	0.3336778724	0.87875
250	0.3334052235	0.87875
251	0.333243313	0.87875
252	0.3329312599	0.87875
253	0.332858779	0.87875
254	0.3325119475	0.87875
255	0.3322692553	0.87875
256	0.3314109909	0.88
257	0.3314012955	0.88
258	0.3313802573	0.88
259	0.3311634337	0.88
260	0.3309723757	0.88
261	0.3303526161	0.88125
262	0.3301348948	0.88125
263	0.3300857295	0.88125
264	0.3299291385	0.88125
265	0.3297499144	0.88
266	0.3294136796	0.88
267	0.328500286	0.88
268	0.3284728703	0.88
269	0.3283893591	0.88
270	0.3283035158	0.88
271	0.3282553123	0.88
272	0.3281619957	0.88
273	0.327998605	0.88
274	0.327892378	0.88
275	0.3278380016	0.88
276	0.3277526826	0.88
277	0.3271576101	0.88
278	0.3266840336	0.88
279	0.3263681086	0.88
280	0.3259722456	0.88
281	0.3254213377	0.88125
282	0.3252386419	0.88125
283	0.3248142724	0.88125
284	0.3245255135	0.88125
285	0.3240489309	0.8825
286	0.3238958871	0.8825
287	0.3237113979	0.88125
288	0.3230444237	0.8825
289	0.3227917188	0.8825
290	0.3222794995	0.885
291	0.3220284361	0.885
292	0.3219642187	0.885
293	0.3216802689	0.885
294	0.3213594979	0.885
295	0.3212110427	0.885
296	0.3211516433	0.885
297	0.3208218289	0.885
298	0.3205912169	0.885
299	0.3204740135	0.885
300	0.3202662207	0.885
301	0.3197365939	0.885
302	0.3192857561	0.885
303	0.3192169307	0.885
304	0.3191680372	0.885
305	0.318701248	0.885
306	0.3180859029	0.885
307	0.3178083577	0.885
308	0.3176772325	0.88625
309	0.3175076836	0.88625
310	0.3166784871	0.88625
311	0.3166181873	0.88625
312	0.3163942562	0.88625
313	0.3161992586	0.88625
314	0.3160919048	0.88625
315	0.3160680733	0.88625
316	0.3159508134	0.88625
317	0.3158756378	0.8875
318	0.315675564	0.8875
319	0.3154224615	0.8875
320	0.3154013771	0.8875
321	0.3150580782	0.88875
322	0.3149411097	0.88875
323	0.3146929859	0.88875
324	0.3145322106	0.88875
325	0.3142620387	0.88875
326	0.3139591902	0.89
327	0.3137941198	0.89
328	0.313384065	0.89
329	0.312536116	0.89
330	0.3122444673	0.89
331	0.3121070379	0.89
332	0.3119665783	0.89
333	0.3118436031	0.89
334	0.3116891702	0.89
335	0.3114862694	0.89
336	0.3111812173	0.89
337	0.3110792423	0.88875
338	0.3107619476	0.88875
339	0.3103507888	0.8875
340	0.3101028034	0.8875
341	0.3097694804	0.8875
342	0.309142022	0.88875
343	0.3089297886	0.88875
344	0.308859664	0.88875
345	0.3087467064	0.88875
346	0.3085814163	0.88875
347	0.3084683168	0.89
348	0.3083815871	0.89
349	0.3080377926	0.89
350	0.3079669018	0.89125
351	0.3074488078	0.89
352	0.3070943593	0.89125
353	0.3066427038	0.8925
354	0.3061355018	0.89125
355	0.3059883348	0.89125
356	0.3057934997	0.89125
357	0.3055891089	0.89125
358	0.3053832292	0.89125
359	0.3051667951	0.89125
360	0.3049828774	0.8925
361	0.3042893322	0.8925
362	0.3040866406	0.8925
363	0.3038665052	0.89375
364	0.3034450193	0.89375
365	0.3031953198	0.89375
366	0.3031748041	0.89375
367	0.3029102425	0.89375
368	0.302607066	0.89375
369	0.3023279555	0.89375
370	0.3023117346	0.89375
371	0.3018976531	0.89375
372	0.3015429385	0.89375
373	0.3013912051	0.89375
374	0.3012089473	0.89375
375	0.3011644044	0.89375
376	0.3008820617	0.89375
377	0.3007171205	0.89375
378	0.3005408604	0.89375
379	0.3000569803	0.89375
380	0.2996821554	0.89375
381	0.2992904935	0.89375
382	0.2991507189	0.89375
383	0.2989413707	0.8925
384	0.2988869764	0.89375
385	0.2986912137	0.8925
386	0.2984223051	0.89375
387	0.2981217154	0.895
388	0.2979125959	0.895
389	0.2978000821	0.895
390	0.2973471155	0.895
391	0.2972432847	0.895
392	0.2969980627	0.895
393	0.2967191455	0.895
394	0.296250208	0.895
395	0.2960632938	0.895
396	0.2958194657	0.895
397	0.2956183533	0.89625
398	0.2952830194	0.89625
399	0.2950416252	0.89625
400	0.2945621896	0.89625
401	0.2944562194	0.89625
402	0.2940835719	0.89625
403	0.2939599375	0.89625
404	0.2938170304	0.89625
405	0.2935435005	0.8975
406	0.2935152661	0.8975
407	0.2934103346	0.8975
408	0.2931643426	0.8975
409	0.2927711088	0.8975
410	0.2925787231	0.8975
411	0.2923170687	0.8975
412	0.2922610157	0.8975
413	0.2921630965	0.8975
414	0.292026527	0.8975
415	0.2916810341	0.89875
416	0.2914966896	0.9
417	0.291329821	0.9
418	0.2908911663	0.89875
419	0.2906345093	0.89875
420	0.2898239556	0.89875
421	0.2896439203	0.9
422	0.289303393	0.90125
423	0.2890620761	0.9025
424	0.288928659	0.9025
425	0.2887055248	0.9025
426	0.2885543084	0.9025
427	0.2879149039	0.9025
428	0.2877007789	0.90125
429	0.2875548764	0.9
430	0.2872933554	0.9
431	0.2870359256	0.90125
432	0.286901272	0.90125
433	0.286751001	0.90125
434	0.2866147344	0.90125
435	0.2864060976	0.90125
436	0.2862653684	0.90125
437	0.2861987629	0.90125
438	0.2860456001	0.9025
439	0.2856966208	0.9025
440	0.2855716758	0.9025
441	0.2852586383	0.9025
442	0.2851350038	0.9025
443	0.2850148408	0.9025
444	0.284419249	0.9025
445	0.284306058	0.9025
446	0.2840194801	0.90375
447	0.2839681547	0.9025
448	0.2837398611	0.9025
449	0.2835353302	0.9025
450	0.2831700703	0.9025
451	0.2830336162	0.9025
452	0.2829434369	0.9025
453	0.2828789781	0.9025
454	0.2827243353	0.90125
455	0.2824385682	0.90125
456	0.2821792768	0.9025
457	0.2819150051	0.90375
458	0.2816999754	0.90375
459	0.2815170329	0.90375
460	0.281430774	0.90375
461	0.2812139714	0.90375
462	0.280710654	0.90375
463	0.2804037671	0.90375
464	0.2798547262	0.90375
465	0.2796737216	0.905
466	0.2794776577	0.905
467	0.279150545	0.905
468	0.2789817683	0.905
469	0.2786221336	0.905
470	0.2785224978	0.905
471	0.2784252724	0.905
472	0.278333139	0.90375
473	0.2782513116	0.90375
474	0.2778975236	0.90375
475	0.2777840273	0.90375
476	0.2775526364	0.90375
477	0.2774257307	0.90375
478	0.2773294435	0.90375
479	0.2772510845	0.90375
480	0.2769379733	0.9025
481	0.2768419755	0.9025
482	0.2765856751	0.9025
483	0.2762362012	0.90375
484	0.2759710531	0.90375
485	0.2756620621	0.90375
486	0.275316437	0.90375
487	0.2751903167	0.90375
488	0.2748611207	0.90375
489	0.2748150733	0.90375
490	0.2745956259	0.905
491	0.2743930519	0.905
492	0.2742496488	0.905
493	0.2740537009	0.905
494	0.2739542693	0.905
495	0.2738496918	0.905
496	0.2735384549	0.905
497	0.2734524053	0.905
498	0.2734198309	0.905
499	0.2731390736	0.905
500	0.2730788464	0.905
501	0.2730624948	0.905
502	0.2729472864	0.905
