iter	Passed	Remaining
0	5	5262
1	11	5572
2	15	5247
3	19	4843
4	25	5011
5	29	4906
6	34	4860
7	40	4963
8	47	5245
9	52	5207
10	56	5064
11	58	4848
12	61	4640
13	63	4464
14	68	4498
15	71	4390
16	73	4246
17	75	4131
18	78	4070
19	82	4028
20	84	3950
21	86	3832
22	89	3792
23	98	4009
24	101	3971
25	107	4037
26	111	4023
27	114	3977
28	116	3914
29	118	3828
30	121	3790
31	123	3738
32	126	3712
33	129	3672
34	131	3613
35	135	3616
36	138	3601
37	140	3552
38	142	3508
39	145	3491
40	148	3462
41	150	3432
42	153	3421
43	156	3403
44	158	3366
45	161	3349
46	164	3329
47	166	3302
48	169	3283
49	171	3263
50	173	3230
51	175	3197
52	178	3188
53	181	3185
54	186	3210
55	189	3199
56	192	3181
57	195	3178
58	197	3154
59	202	3176
60	206	3177
61	206	3131
62	210	3129
63	214	3140
64	216	3110
65	220	3117
66	222	3103
67	226	3103
68	229	3100
69	231	3081
70	235	3079
71	236	3046
72	238	3024
73	240	3004
74	243	3002
75	245	2981
76	247	2972
77	251	2973
78	253	2960
79	254	2931
80	258	2928
81	258	2896
82	260	2880
83	264	2887
84	267	2879
85	269	2864
86	271	2848
87	272	2825
88	275	2823
89	276	2799
90	279	2788
91	282	2786
92	284	2773
93	287	2769
94	290	2762
95	292	2755
96	294	2744
97	297	2742
98	300	2731
99	302	2721
100	305	2717
101	309	2720
102	311	2710
103	314	2705
104	316	2697
105	318	2690
106	322	2687
107	323	2674
108	326	2666
109	329	2663
110	331	2658
111	334	2649
112	337	2650
113	339	2638
114	340	2621
115	344	2621
116	347	2620
117	350	2619
118	351	2603
119	354	2598
120	356	2587
121	358	2580
122	361	2574
123	363	2564
124	363	2546
125	365	2531
126	367	2526
127	369	2519
128	371	2508
129	374	2507
130	377	2507
131	379	2498
132	384	2505
133	387	2505
134	389	2495
135	390	2481
136	394	2487
137	397	2482
138	399	2475
139	402	2475
140	404	2462
141	406	2455
142	408	2446
143	411	2448
144	413	2440
145	416	2434
146	419	2431
147	421	2424
148	422	2415
149	426	2417
150	429	2413
151	430	2400
152	434	2404
153	436	2397
154	438	2392
155	441	2390
156	442	2376
157	444	2370
158	446	2362
159	448	2355
160	450	2349
161	453	2345
162	456	2343
163	458	2337
164	460	2328
165	463	2326
166	464	2316
167	466	2312
168	469	2307
169	472	2308
170	473	2295
171	477	2298
172	480	2296
173	483	2296
174	486	2292
175	489	2290
176	493	2294
177	494	2284
178	498	2286
179	500	2278
180	502	2272
181	504	2266
