iter	Logloss	Accuracy
0	0.6756569861	0.8
1	0.6581479962	0.8
2	0.6423412282	0.79875
3	0.6278865224	0.79875
4	0.6149480211	0.79875
5	0.6046669245	0.79875
6	0.5977622284	0.8
7	0.5873599393	0.8025
8	0.5772026421	0.8025
9	0.5682220691	0.8025
10	0.5603048161	0.8025
11	0.5555302764	0.80125
12	0.5483513765	0.8025
13	0.5408445908	0.80125
14	0.5322118016	0.8025
15	0.526329595	0.8025
16	0.5230260749	0.8025
17	0.5173443953	0.8025
18	0.5122673117	0.8025
19	0.5073487134	0.8025
20	0.5023917512	0.8025
21	0.4999714111	0.8025
22	0.4965478912	0.80375
23	0.4945407441	0.80375
24	0.4893301113	0.80375
25	0.4846609229	0.80375
26	0.4812978785	0.80375
27	0.4773794243	0.80375
28	0.4759958532	0.80375
29	0.4726830249	0.80375
30	0.4686807873	0.805
31	0.4656686765	0.805
32	0.4629759251	0.805
33	0.4619416453	0.805
34	0.4610410559	0.805
35	0.4587977709	0.805
36	0.4576643335	0.805
37	0.4563142947	0.805
38	0.4533937399	0.805
39	0.4521188248	0.805
40	0.4486662182	0.805
41	0.4464503615	0.805
42	0.4449025323	0.805
43	0.4429824076	0.805
44	0.4410616393	0.805
45	0.4407945031	0.805
46	0.4392533394	0.805
47	0.4376203467	0.805
48	0.4363273682	0.805
49	0.4353644695	0.805
50	0.4347621166	0.805
51	0.4343813854	0.805
52	0.4334922309	0.805
53	0.4330195858	0.805
54	0.43203987	0.805
55	0.4301316035	0.8075
56	0.429575519	0.8075
57	0.4295005535	0.8075
58	0.4290677556	0.8075
59	0.4283636084	0.8075
60	0.4272535103	0.8075
61	0.4265135768	0.80875
62	0.4257684961	0.80875
63	0.425517003	0.80875
64	0.4253063805	0.80875
65	0.4245466999	0.81
66	0.4232649727	0.8125
67	0.4224479117	0.8125
68	0.4218603078	0.815
69	0.4211224734	0.81375
70	0.4207615155	0.81375
71	0.4203878384	0.81375
72	0.4196503656	0.815
73	0.4192093825	0.815
74	0.418872695	0.81375
75	0.4186406009	0.81375
76	0.4183407706	0.815
77	0.4172105405	0.815
78	0.4167657886	0.815
79	0.4157804351	0.815
80	0.4153858185	0.81625
81	0.4152630265	0.81625
82	0.4150609443	0.81625
83	0.4147219205	0.81625
84	0.4142925963	0.81625
85	0.4132559542	0.815
86	0.4124592227	0.815
87	0.4114792079	0.8175
88	0.4103342239	0.81875
89	0.4097662789	0.81875
90	0.4086493241	0.82125
91	0.4082612748	0.82125
92	0.4077184327	0.82
93	0.4072350279	0.82
94	0.4071217842	0.82
95	0.4064517937	0.82125
96	0.4055626347	0.82125
97	0.4049991091	0.82125
98	0.4048968902	0.82
99	0.4039422072	0.82
100	0.4038643043	0.82
101	0.4034663795	0.82
102	0.4031804409	0.82
103	0.4028790225	0.82
104	0.4020739257	0.82
105	0.4013372448	0.82
106	0.4005518404	0.82
107	0.4002920346	0.82
108	0.3999659389	0.82125
109	0.3997785648	0.82125
110	0.3994716979	0.82125
111	0.3989035072	0.82125
112	0.3979073723	0.8225
113	0.3975716125	0.8225
114	0.3973259203	0.8225
115	0.3970519539	0.8225
116	0.3967588786	0.8225
117	0.3966416111	0.8225
118	0.396260098	0.8225
119	0.3961536994	0.8225
120	0.3954879772	0.8225
121	0.3953098614	0.8225
122	0.395309291	0.8225
123	0.39522331	0.8225
124	0.3948428181	0.8225
125	0.3948395743	0.8225
126	0.3938922837	0.82375
127	0.3937340114	0.82375
128	0.3937336323	0.82375
129	0.3934806182	0.82375
130	0.3932726409	0.82375
131	0.3927349417	0.82625
132	0.3926163486	0.82625
133	0.3922617967	0.8275
134	0.3921260661	0.82875
135	0.3920078945	0.82875
136	0.3916771763	0.83
137	0.3914426271	0.83
138	0.3909946553	0.82875
139	0.3909400316	0.82875
140	0.3907950167	0.82875
141	0.3906028655	0.83
142	0.3902531032	0.83
143	0.389874353	0.835
144	0.3898378573	0.835
145	0.3895478548	0.835
146	0.3890266634	0.835
147	0.3889066129	0.8375
148	0.3888686201	0.8375
149	0.3887432852	0.8375
150	0.3885931257	0.8375
151	0.388265852	0.8375
152	0.38815054	0.8375
153	0.3881202186	0.8375
154	0.3877155682	0.83875
155	0.3873583641	0.8425
156	0.3870030265	0.8425
157	0.3867455354	0.84125
158	0.3865504904	0.8425
159	0.3865503013	0.8425
160	0.3863254087	0.84125
161	0.3863250812	0.84125
162	0.3860120475	0.8425
163	0.3852181285	0.84125
164	0.3850536818	0.84125
165	0.3846359031	0.84375
166	0.3844730762	0.845
167	0.3835596292	0.845
168	0.3832796533	0.845
169	0.3832796464	0.845
170	0.3829983526	0.845
171	0.3827928214	0.845
172	0.3824398952	0.845
173	0.3823391953	0.845
174	0.3818413742	0.84625
175	0.381813965	0.84625
176	0.3818139622	0.84625
177	0.3816981328	0.84625
178	0.3814572959	0.84875
179	0.3811164997	0.84875
180	0.3804282033	0.84875
181	0.3802712502	0.84875
182	0.3799915629	0.84875
183	0.3797518155	0.8475
184	0.3796689328	0.8475
185	0.3796689296	0.8475
186	0.3791002172	0.8475
187	0.3789373723	0.8475
188	0.3779416023	0.84875
189	0.377789342	0.84875
190	0.3775379948	0.8475
191	0.3773827666	0.8475
192	0.3771508754	0.84875
193	0.3769961854	0.84875
194	0.3769199403	0.84875
195	0.3767941625	0.85125
196	0.3767432418	0.85125
197	0.3766628382	0.85125
198	0.3765177793	0.85125
199	0.3761493246	0.85125
200	0.3760453891	0.85125
201	0.3754089368	0.8525
202	0.3750991362	0.8525
203	0.3750166438	0.8525
204	0.3743510488	0.85375
205	0.373781414	0.8525
206	0.3731531822	0.85625
207	0.3729755398	0.855
208	0.3727101713	0.855
209	0.3726492912	0.855
210	0.3726061661	0.855
211	0.3721360354	0.85625
212	0.3720360859	0.85375
213	0.3718891422	0.855
214	0.3717892239	0.85625
215	0.3716390455	0.85625
216	0.3715696335	0.85625
217	0.3714770523	0.85625
218	0.3713519496	0.85625
219	0.3711359681	0.85625
220	0.37075205	0.85625
221	0.3705326998	0.85625
222	0.3700844013	0.8575
223	0.3697965648	0.8575
224	0.3696569587	0.86
225	0.3692452275	0.86
226	0.3687538966	0.85875
227	0.3686409734	0.86
228	0.3686097935	0.86
229	0.3685863845	0.86
230	0.3681303969	0.86125
231	0.3681285073	0.86125
232	0.3680132218	0.86125
233	0.3679635824	0.8625
234	0.3678885199	0.8625
235	0.3677851357	0.8625
236	0.3671063472	0.8625
237	0.3664636073	0.86125
238	0.3663257127	0.86
239	0.3662993016	0.86
240	0.3660797829	0.86
241	0.3657133023	0.86
242	0.3655770084	0.86
243	0.3655520927	0.86
244	0.3655185984	0.86
245	0.3649878099	0.86
246	0.3649321199	0.86125
247	0.364506118	0.86125
248	0.3639970162	0.86375
249	0.3639459144	0.86375
250	0.3637578773	0.86375
251	0.3635106932	0.86375
252	0.3632635451	0.8625
253	0.3632227614	0.8625
254	0.3630968111	0.86375
255	0.3628944167	0.86375
256	0.3627798295	0.8625
257	0.3627682871	0.8625
258	0.3624972368	0.8625
259	0.3624334343	0.8625
260	0.3622322617	0.86375
261	0.3618728073	0.86375
262	0.3616423915	0.86375
263	0.3614327098	0.86375
264	0.3612166066	0.86375
265	0.3611669516	0.86375
266	0.361065678	0.865
267	0.3608263891	0.865
268	0.3606300832	0.865
269	0.3603800193	0.865
270	0.3601065804	0.86625
271	0.3599778314	0.86625
272	0.359959477	0.86625
273	0.3593101941	0.86625
274	0.3591991774	0.86625
275	0.3591316096	0.8675
276	0.358827024	0.86625
277	0.3587102449	0.86625
278	0.3586169703	0.86625
279	0.358418992	0.8675
280	0.3578502146	0.8675
281	0.3576816047	0.8675
282	0.3575664233	0.8675
283	0.3572468775	0.8675
284	0.3571779356	0.8675
285	0.3563894783	0.86875
286	0.3561653348	0.87
287	0.3558388828	0.86875
288	0.3557243254	0.86875
289	0.3555847799	0.86875
290	0.3555703707	0.86875
291	0.3552144709	0.86875
292	0.3550616341	0.86875
293	0.3548981128	0.87
294	0.3547486139	0.87
295	0.3543176913	0.86875
296	0.3540567795	0.86875
297	0.353742778	0.86875
298	0.3535439079	0.86875
299	0.3534293578	0.86875
300	0.3533676909	0.86875
301	0.3532292449	0.86875
302	0.35301098	0.86875
303	0.3526729624	0.87
304	0.3524112736	0.87
305	0.3518611693	0.87125
306	0.3511340412	0.87125
307	0.3509930488	0.87125
308	0.3507594096	0.87375
309	0.3506779459	0.87375
310	0.350254209	0.87375
311	0.350131084	0.87375
312	0.3500138414	0.87375
313	0.3499181254	0.87375
314	0.3495156465	0.87375
315	0.3491516115	0.87375
316	0.3488703106	0.87375
317	0.3482839046	0.87375
318	0.3480546606	0.875
319	0.3479769497	0.875
320	0.3475112813	0.87625
321	0.3473739774	0.87625
322	0.3470535325	0.87625
323	0.3469413378	0.87625
324	0.3467674995	0.87625
325	0.3467477435	0.87625
326	0.3458016597	0.87625
327	0.3451854723	0.875
328	0.3450202636	0.87625
329	0.344965228	0.87625
330	0.3447092203	0.87625
331	0.344631445	0.87625
332	0.3443768683	0.875
333	0.3439807693	0.875
334	0.3438604998	0.875
335	0.3437068143	0.87375
336	0.3432915496	0.8725
337	0.3432607528	0.8725
338	0.3432091402	0.8725
339	0.3430629124	0.8725
340	0.3429913642	0.8725
341	0.3429475659	0.8725
342	0.3427085043	0.8725
343	0.3426027211	0.8725
344	0.3424821099	0.8725
345	0.3421669756	0.87375
346	0.3418583378	0.87375
347	0.341512413	0.87375
348	0.3411342875	0.8725
349	0.3409762718	0.8725
350	0.3407828455	0.8725
351	0.3405097915	0.8725
352	0.3402830242	0.8725
353	0.3400114948	0.87125
354	0.3399203172	0.87125
355	0.3396048288	0.87125
356	0.3392992795	0.87125
357	0.3391161973	0.87125
358	0.3387379107	0.87
359	0.3385408951	0.87
360	0.3384249198	0.87
361	0.3383276888	0.86875
362	0.3382058488	0.8675
363	0.3380486879	0.8675
364	0.3378497289	0.86875
365	0.3376433408	0.87
366	0.3372203878	0.87
367	0.3369863563	0.8725
368	0.3363345806	0.8725
369	0.3362295987	0.8725
370	0.3358947324	0.87375
371	0.335591899	0.8725
372	0.3350555795	0.8725
373	0.3348470385	0.87375
374	0.3344650903	0.87375
375	0.3341629793	0.875
376	0.3338188076	0.87375
377	0.3333732169	0.87375
378	0.3332823349	0.875
379	0.3330317238	0.87375
380	0.3324699283	0.8775
381	0.3323216313	0.87875
382	0.332017556	0.87875
383	0.3319869176	0.87875
384	0.3316593691	0.87875
385	0.331508506	0.87875
386	0.3313873743	0.88
387	0.3312615715	0.88
388	0.3309712604	0.88
389	0.3307039335	0.88125
390	0.3306380656	0.88125
391	0.3304756543	0.88125
392	0.3304100809	0.88125
393	0.3302334573	0.88125
394	0.3298107818	0.88125
395	0.3296658926	0.88125
396	0.3295730081	0.88125
397	0.3294892317	0.88125
398	0.3293833172	0.88
399	0.3293171284	0.88125
400	0.3290402983	0.88
401	0.3287914233	0.88125
402	0.3284616641	0.8825
403	0.3282578138	0.8825
404	0.32805688	0.88375
405	0.3275654648	0.8825
406	0.3273371313	0.8825
407	0.3268042388	0.8825
408	0.3259525459	0.88375
409	0.3257062244	0.88375
410	0.3256168842	0.88375
411	0.3253054849	0.885
412	0.3252089373	0.88625
413	0.3251577982	0.88625
414	0.3248273129	0.88625
415	0.3244663678	0.8875
416	0.3241029066	0.8875
