iter	Logloss	Accuracy
0	0.675101839	0.80625
1	0.6570047622	0.80625
2	0.6407269079	0.80875
3	0.6255475093	0.8125
4	0.6120185331	0.8075
5	0.6010848162	0.8075
6	0.592549434	0.8125
7	0.5802629675	0.8125
8	0.5699914213	0.81125
9	0.5598221621	0.81
10	0.5531480939	0.81125
11	0.5445249622	0.8125
12	0.5399113139	0.8125
13	0.5331670689	0.8125
14	0.5259241402	0.8125
15	0.5195402723	0.8125
16	0.512237623	0.8125
17	0.506901058	0.8125
18	0.5014164034	0.8125
19	0.4964516752	0.81375
20	0.4900876559	0.81375
21	0.4849012372	0.81375
22	0.4807022747	0.81375
23	0.4749531996	0.81625
24	0.4718495434	0.81625
25	0.470092969	0.81625
26	0.4662106022	0.81625
27	0.4626729415	0.81625
28	0.4590581394	0.81625
29	0.4566985158	0.815
30	0.4543077646	0.815
31	0.4530562596	0.81625
32	0.4504823142	0.81375
33	0.446588593	0.81625
34	0.4443621443	0.81625
35	0.4428458144	0.8175
36	0.440914278	0.815
37	0.4404676779	0.81625
38	0.4385266558	0.815
39	0.4358597409	0.8175
40	0.4347563295	0.8175
41	0.4330632897	0.81875
42	0.4308529537	0.8175
43	0.4292412177	0.82
44	0.4287031717	0.8175
45	0.4273742593	0.8175
46	0.4259841511	0.81875
47	0.4258955621	0.81875
48	0.4250926504	0.81875
49	0.4224334091	0.8175
50	0.4212832301	0.81625
51	0.4199607545	0.82
52	0.4186627142	0.8225
53	0.4179858686	0.8225
54	0.4170906046	0.82375
55	0.4159456583	0.82375
56	0.4157669399	0.825
57	0.4145549715	0.825
58	0.4132739802	0.8275
59	0.4118763475	0.8275
60	0.4116155466	0.825
61	0.4109950295	0.825
62	0.4098201505	0.83125
63	0.4092386379	0.82625
64	0.4087288253	0.825
65	0.4081539301	0.82625
66	0.4076967225	0.82875
67	0.4062423461	0.83125
68	0.4055856001	0.83
69	0.4053152927	0.83
70	0.4049226875	0.82875
71	0.404740415	0.82875
72	0.403993747	0.82875
73	0.4029210864	0.83
74	0.401924252	0.83
75	0.4014057927	0.8325
76	0.4012959448	0.83125
77	0.4009530936	0.83125
78	0.4009421867	0.83125
79	0.4007290849	0.83125
80	0.3998023778	0.83
81	0.3995868517	0.83
82	0.3995622592	0.82875
83	0.3992597015	0.83
84	0.398697237	0.83
85	0.3980209001	0.8325
86	0.3976870328	0.8325
87	0.3966753692	0.83125
88	0.3960287985	0.835
89	0.3956769177	0.835
90	0.3952147274	0.8375
91	0.3940950111	0.83625
92	0.3936253918	0.83625
93	0.3931979724	0.8375
94	0.3924144917	0.8375
95	0.3916535062	0.83625
96	0.3914834969	0.83625
97	0.3906166532	0.8375
98	0.3893632889	0.8375
99	0.3890247885	0.83875
100	0.3881492667	0.8375
101	0.3880902633	0.8375
102	0.3874682732	0.83875
103	0.3871527721	0.84
104	0.3868840353	0.84
105	0.386628049	0.84125
106	0.3862514514	0.8425
107	0.3857320029	0.84375
108	0.3852772712	0.84375
109	0.3852423318	0.84375
110	0.3851759729	0.84375
111	0.384669204	0.845
112	0.3843422938	0.845
113	0.3840080643	0.845
