iter	Passed	Remaining
0	3	3279
1	5	2618
2	7	2414
3	10	2569
4	11	2387
5	14	2346
6	15	2177
7	17	2198
8	20	2258
9	23	2326
10	26	2350
11	28	2373
12	29	2243
13	30	2167
14	33	2186
15	36	2237
16	38	2242
17	41	2264
18	46	2377
19	47	2337
20	52	2425
21	63	2835
22	66	2843
23	69	2829
24	70	2765
25	71	2683
26	75	2705
27	77	2705
28	82	2758
29	85	2748
30	87	2736
31	90	2742
32	94	2781
33	99	2820
34	103	2845
35	108	2895
36	111	2900
37	112	2847
38	116	2871
39	118	2852
40	120	2824
41	124	2834
42	126	2821
43	131	2850
44	132	2814
45	134	2790
46	137	2785
47	138	2752
48	140	2727
49	142	2707
50	147	2735
51	149	2728
52	151	2714
53	155	2730
54	158	2721
55	161	2729
56	163	2711
57	165	2692
58	169	2701
59	172	2700
60	173	2668
61	175	2653
62	179	2666
63	182	2662
64	185	2661
65	187	2653
66	189	2645
67	193	2649
68	195	2639
69	197	2628
70	200	2618
71	202	2606
72	204	2599
73	210	2630
74	212	2624
75	216	2632
76	218	2622
77	220	2611
78	221	2584
79	223	2574
80	226	2572
81	229	2566
82	231	2557
83	234	2554
84	237	2551
85	240	2552
86	243	2553
87	246	2552
88	249	2550
89	251	2541
90	254	2544
91	257	2539
92	259	2530
93	261	2524
94	264	2521
95	266	2513
96	268	2501
97	272	2509
98	275	2508
99	278	2506
100	280	2493
101	281	2478
102	286	2496
103	290	2505
104	293	2497
105	296	2498
106	299	2499
107	302	2495
108	305	2497
109	306	2481
110	307	2464
111	311	2465
112	313	2458
113	315	2452
114	319	2457
115	320	2442
116	322	2436
117	325	2430
118	326	2419
119	327	2400
120	329	2392
121	330	2379
122	333	2377
123	335	2373
124	338	2366
125	339	2356
126	342	2351
127	344	2343
128	346	2338
129	348	2330
130	351	2331
131	354	2329
132	356	2322
133	359	2322
134	361	2316
135	363	2311
136	366	2310
137	368	2302
138	371	2298
139	373	2296
140	374	2284
141	376	2272
142	377	2265
143	379	2258
144	382	2256
145	385	2253
146	387	2250
147	390	2247
148	393	2246
149	395	2240
150	397	2237
151	401	2237
152	403	2232
153	407	2236
154	409	2231
155	411	2226
156	414	2225
157	416	2221
158	420	2223
159	424	2231
160	427	2230
161	431	2233
162	436	2239
163	440	2246
164	443	2243
165	448	2255
166	452	2256
167	457	2267
168	461	2267
169	465	2274
170	468	2273
171	472	2272
172	474	2266
173	477	2264
174	482	2275
175	484	2267
176	490	2279
177	494	2281
178	498	2285
179	501	2284
180	506	2290
181	508	2286
182	513	2291
183	516	2288
184	520	2293
185	523	2292
186	526	2290
187	531	2295
188	533	2287
189	537	2292
190	540	2291
191	545	2296
192	548	2292
193	553	2298
194	556	2296
195	557	2287
196	560	2284
197	564	2285
198	567	2285
199	569	2277
200	572	2276
201	577	2281
202	580	2280
203	586	2287
204	587	2280
205	591	2277
206	596	2284
207	601	2289
208	604	2289
209	610	2296
210	613	2293
211	617	2295
212	620	2294
213	625	2296
214	628	2293
215	630	2287
216	635	2291
217	639	2294
218	642	2292
219	646	2290
220	651	2295
221	656	2300
222	660	2301
223	665	2306
224	669	2305
225	675	2312
226	679	2313
227	683	2315
228	688	2316
229	691	2314
230	692	2305
231	697	2309
232	701	2308
233	705	2310
234	708	2306
235	712	2305
236	716	2305
237	719	2304
238	724	2306
239	729	2309
240	731	2305
241	734	2300
242	739	2304
243	741	2296
244	745	2296
245	747	2291
246	749	2285
247	752	2282
248	755	2277
249	758	2276
250	762	2273
251	763	2267
252	765	2260
253	768	2256
254	769	2248
255	772	2244
256	775	2241
257	778	2238
258	780	2234
259	782	2226
260	785	2222
261	787	2217
262	788	2210
263	791	2206
264	794	2203
265	795	2194
266	797	2189
267	800	2187
268	803	2184
269	806	2181
270	809	2178
271	811	2173
272	814	2169
273	817	2167
274	819	2160
275	821	2155
276	824	2152
277	827	2147
278	828	2142
279	831	2139
280	834	2134
281	836	2130
282	839	2127
283	841	2122
284	844	2117
285	847	2115
286	853	2119
287	857	2120
288	859	2114
289	861	2110
290	865	2107
291	867	2103
292	870	2100
293	875	2101
294	878	2100
295	881	2097
296	883	2092
297	886	2087
298	889	2084
299	890	2078
300	892	2073
301	895	2069
302	897	2065
303	899	2060
304	902	2055
305	905	2053
306	907	2048
307	909	2044
308	912	2040
309	914	2036
310	916	2031
311	919	2028
312	922	2023
313	924	2019
314	927	2016
315	929	2011
316	931	2007
317	933	2002
318	936	1999
319	938	1994
320	941	1990
321	943	1987
322	946	1983
323	948	1979
324	951	1977
325	954	1973
326	956	1968
327	961	1969
328	963	1964
329	965	1961
330	968	1957
331	970	1953
332	972	1948
333	975	1945
334	977	1939
335	979	1935
336	981	1931
337	984	1928
338	986	1924
339	988	1919
340	991	1915
341	993	1911
342	995	1907
343	998	1904
344	1001	1901
345	1003	1897
346	1006	1894
347	1009	1891
348	1011	1886
349	1014	1884
350	1017	1880
351	1019	1876
352	1032	1892
353	1034	1888
354	1036	1883
355	1039	1880
356	1042	1878
357	1045	1874
358	1048	1872
359	1051	1868
360	1055	1867
361	1057	1864
362	1060	1860
363	1062	1855
364	1065	1853
365	1071	1856
366	1075	1855
367	1078	1852
368	1082	1851
369	1084	1846
370	1086	1842
371	1089	1838
372	1091	1834
373	1093	1830
374	1096	1827
375	1099	1823
376	1101	1820
377	1104	1818
378	1107	1814
379	1108	1809
380	1111	1805
381	1114	1802
382	1116	1798
383	1119	1795
384	1121	1792
385	1124	1788
386	1127	1785
387	1129	1782
388	1132	1778
389	1134	1774
390	1137	1771
391	1139	1767
392	1142	1763
393	1145	1761
394	1147	1757
395	1149	1753
396	1152	1751
397	1155	1748
398	1157	1743
399	1160	1740
400	1163	1737
401	1166	1734
402	1169	1732
403	1171	1728
404	1174	1725
405	1178	1723
406	1180	1719
407	1182	1716
408	1185	1713
409	1187	1709
410	1190	1705
411	1193	1703
412	1195	1699
413	1198	1696
414	1201	1693
415	1203	1689
416	1205	1685
417	1208	1682
418	1210	1678
419	1212	1675
420	1215	1671
421	1218	1668
422	1220	1665
423	1222	1661
424	1226	1659
425	1228	1655
426	1230	1651
427	1233	1648
428	1236	1645
429	1238	1642
430	1241	1639
431	1243	1635
432	1245	1631
433	1248	1628
434	1252	1626
435	1254	1622
436	1257	1620
437	1260	1617
438	1265	1617
439	1267	1613
440	1269	1609
441	1273	1607
442	1276	1604
443	1278	1600
444	1281	1598
445	1284	1595
446	1287	1592
447	1291	1591
448	1293	1587
449	1297	1585
450	1300	1582
451	1302	1579
452	1305	1576
453	1308	1573
454	1310	1569
455	1313	1566
456	1315	1563
457	1318	1559
458	1320	1556
459	1323	1553
460	1325	1550
461	1329	1547
462	1331	1544
463	1334	1541
464	1336	1538
465	1339	1535
466	1342	1531
467	1345	1529
468	1347	1526
469	1351	1523
470	1353	1520
471	1356	1517
472	1359	1514
473	1362	1511
474	1364	1508
475	1367	1505
476	1370	1502
477	1372	1498
478	1374	1494
479	1377	1492
480	1379	1488
481	1381	1484
482	1384	1482
483	1387	1479
484	1389	1475
485	1391	1471
486	1394	1468
487	1395	1464
488	1398	1461
489	1402	1459
490	1404	1455
491	1405	1451
492	1408	1448
493	1410	1444
494	1412	1441
495	1414	1437
496	1418	1435
497	1420	1431
498	1422	1428
499	1425	1425
500	1439	1433
501	1443	1432
502	1447	1430
503	1451	1428
504	1455	1427
505	1461	1426
506	1465	1425
507	1470	1424
508	1475	1423
509	1480	1422
510	1484	1420
511	1488	1419
512	1493	1417
513	1497	1415
514	1501	1414
515	1505	1412
516	1509	1409
517	1511	1406
518	1515	1404
519	1517	1400
520	1519	1396
521	1521	1392
522	1524	1390
523	1526	1386
524	1529	1383
525	1532	1380
526	1534	1377
527	1537	1374
528	1539	1371
529	1543	1368
530	1545	1365
531	1549	1362
532	1550	1358
533	1553	1355
534	1556	1352
535	1558	1348
536	1560	1345
537	1563	1342
538	1565	1339
539	1568	1335
540	1571	1333
541	1574	1330
542	1576	1326
543	1579	1323
544	1581	1320
545	1584	1317
546	1587	1314
547	1589	1311
548	1591	1307
549	1595	1305
