iter	Logloss	Accuracy
0	0.6749084233	0.81125
1	0.6579143776	0.81125
2	0.6413287353	0.81
3	0.6260127595	0.8125
4	0.6122845229	0.81125
5	0.6009974777	0.81125
6	0.5927639001	0.8075
7	0.5803921762	0.805
8	0.5698131481	0.8075
9	0.5607059211	0.8125
10	0.5520446169	0.81
11	0.5424587403	0.81
12	0.532707454	0.8125
13	0.5251042899	0.81375
14	0.5180872648	0.8125
15	0.5102419746	0.81375
16	0.5046215903	0.81625
17	0.5010113551	0.81625
18	0.4946445148	0.8175
19	0.4911731384	0.815
20	0.486843304	0.815
21	0.4811818788	0.8175
22	0.4761085175	0.81625
23	0.4710893444	0.81875
24	0.467451836	0.8175
25	0.464015613	0.8175
26	0.4617251223	0.8175
27	0.4589047875	0.8175
28	0.4567561225	0.8175
29	0.4536188853	0.8175
30	0.451641868	0.81625
31	0.4477330805	0.81625
32	0.4451433764	0.81875
33	0.4427391327	0.81875
34	0.441682117	0.81875
35	0.4392358749	0.81875
36	0.4368333126	0.81875
37	0.434421652	0.81875
38	0.4329284553	0.81875
39	0.4301469036	0.82125
40	0.4279451556	0.8225
41	0.4278167581	0.82375
42	0.4247950915	0.82375
43	0.4230154784	0.82125
44	0.420803903	0.82375
45	0.4207061509	0.825
46	0.4198034692	0.8225
47	0.4179106856	0.82625
48	0.417103115	0.82625
49	0.416009135	0.825
50	0.4156772851	0.82625
51	0.4148108944	0.825
52	0.4147464985	0.825
53	0.4141841729	0.825
54	0.4130150014	0.82625
55	0.4126250796	0.82625
56	0.4113642667	0.82875
57	0.410816696	0.8275
58	0.4102869467	0.8275
59	0.4098774441	0.83
60	0.4097541039	0.82875
61	0.4094432776	0.8275
62	0.4085651878	0.82875
63	0.4072963044	0.82875
64	0.4064107457	0.82875
65	0.4059032557	0.83
66	0.4051558819	0.82875
67	0.4035795312	0.82875
68	0.4029258803	0.82875
69	0.4018012192	0.82875
70	0.4002737592	0.82875
71	0.399769488	0.82875
72	0.3993855954	0.83
73	0.3988864184	0.83125
74	0.3983349665	0.83125
75	0.3979668827	0.83125
76	0.3973061462	0.8325
77	0.3969901816	0.83125
78	0.3963268099	0.8325
79	0.3958609334	0.83375
80	0.3957080637	0.83375
81	0.3949950477	0.8325
82	0.3945446703	0.8325
83	0.3945362626	0.8325
84	0.3943478162	0.83125
85	0.3941483883	0.8325
86	0.3938838915	0.83375
87	0.3924850267	0.8375
88	0.3923732822	0.8375
89	0.392298561	0.8375
90	0.3922408893	0.8375
91	0.3915452376	0.83625
92	0.3913170075	0.83625
93	0.3908631097	0.8375
94	0.3907612097	0.83625
95	0.3903243556	0.8375
96	0.3901610325	0.8375
97	0.3894573642	0.83625
98	0.389013596	0.83875
99	0.3884689305	0.8375
100	0.3881102602	0.8375
101	0.3875563718	0.8375
102	0.3869758373	0.83875
103	0.3864802025	0.84
104	0.3854523911	0.84125
105	0.3848276521	0.84125
106	0.384802356	0.8425
107	0.3845508557	0.84125
108	0.3844147469	0.84125
109	0.3835058298	0.84125
110	0.3835045857	0.84125
111	0.3831039222	0.84125
112	0.3828879432	0.84
113	0.3828452364	0.84
114	0.3827151776	0.84
115	0.382259939	0.84
116	0.381986313	0.84
117	0.3811404751	0.84375
118	0.381072743	0.84375
119	0.3804487123	0.845
120	0.3802340113	0.845
121	0.3795379132	0.84625
122	0.3794663018	0.84625
123	0.3793212172	0.84625
124	0.379210343	0.84625
125	0.379014925	0.84625
126	0.3784061254	0.84625
127	0.3781961219	0.84625
128	0.3780423286	0.84625
129	0.3777851842	0.84625
130	0.3775623413	0.84625
131	0.3775377153	0.84625
132	0.3766237	0.84625
133	0.376623378	0.84625
134	0.3763822948	0.84625
135	0.3763265895	0.84625
136	0.3759449323	0.84625
137	0.3752526391	0.8475
138	0.3750981032	0.8475
139	0.3748177782	0.8475
140	0.3744971552	0.8475
141	0.3739749736	0.84875
142	0.3737598806	0.84875
143	0.3735865681	0.84875
144	0.3731982609	0.84875
145	0.3729328955	0.84875
146	0.3725741467	0.84875
147	0.3721211602	0.84875
148	0.3718068102	0.84875
149	0.3711515262	0.85
150	0.370348771	0.8525
151	0.369957282	0.85125
152	0.3694485605	0.84875
153	0.3693557759	0.84875
154	0.3690661228	0.84875
155	0.3688444891	0.84875
156	0.3686874257	0.84875
157	0.3682718983	0.85
158	0.3682550037	0.85
159	0.3680850178	0.85
160	0.3679792652	0.85
161	0.3677934567	0.85125
162	0.3677129483	0.85125
163	0.3676851411	0.85125
164	0.3670189178	0.85125
165	0.3669558633	0.85125
166	0.3664861464	0.85
167	0.3664579355	0.85
168	0.3662284382	0.85
169	0.3659307022	0.85125
170	0.3657224481	0.85125
171	0.3651591369	0.85125
172	0.365110296	0.85125
173	0.3648676677	0.85125
174	0.3648676676	0.85125
175	0.3647516071	0.8525
176	0.3641201308	0.8525
177	0.3640946917	0.8525
178	0.3639248288	0.8525
179	0.3635277054	0.8525
180	0.3634726735	0.8525
181	0.3631017096	0.85375
182	0.3625777513	0.85375
183	0.362372213	0.85375
184	0.3619727668	0.85375
185	0.3615532952	0.855
186	0.3614591588	0.85375
187	0.3612618173	0.855
188	0.3609687054	0.855
189	0.3608470109	0.85375
190	0.3608240882	0.85375
191	0.3607216541	0.85375
192	0.3605890636	0.855
193	0.3604969	0.855
194	0.3604320797	0.855
195	0.3601837316	0.85375
196	0.3600890029	0.855
197	0.3599798042	0.85625
198	0.359511785	0.85625
199	0.3592945224	0.85625
200	0.3591466064	0.85625
201	0.3586157346	0.8575
202	0.3584950849	0.8575
203	0.3582179478	0.85625
204	0.3581575661	0.8575
205	0.3580081914	0.8575
206	0.357873753	0.8575
207	0.3578092188	0.8575
208	0.3577577907	0.8575
209	0.3574911914	0.8575
210	0.3573594243	0.8575
211	0.356499627	0.85875
212	0.3564767573	0.85875
213	0.356389129	0.85875
214	0.3556983025	0.86
215	0.3552537443	0.86125
216	0.3549939384	0.86125
217	0.3549718763	0.86125
218	0.3545763358	0.8625
219	0.354481139	0.86375
220	0.3542101387	0.86375
221	0.354158887	0.86375
222	0.3536331678	0.86875
223	0.3532861053	0.86875
224	0.3532433008	0.86875
225	0.353086925	0.8675
226	0.3527909263	0.86875
227	0.3527519412	0.86875
228	0.3520577769	0.86875
229	0.3519925972	0.86875
230	0.351766958	0.8675
231	0.3515964943	0.8675
232	0.3514712045	0.8675
233	0.3513437458	0.8675
234	0.3512556593	0.86875
235	0.3506739131	0.8675
236	0.3502847497	0.86875
237	0.3499075812	0.86875
238	0.3493606521	0.87
239	0.3492418024	0.87
240	0.348754244	0.86875
241	0.3484384281	0.8675
242	0.3475751542	0.86875
243	0.347466838	0.8675
244	0.3474214751	0.8675
245	0.346995125	0.86875
246	0.3466797315	0.86875
247	0.3466458939	0.86875
248	0.3465051992	0.87
249	0.3464230386	0.87
250	0.3463095384	0.87
251	0.3462029418	0.87
252	0.3460475424	0.87
253	0.3456437123	0.87125
254	0.3454804338	0.8725
255	0.3450779534	0.8725
256	0.3445504227	0.87375
257	0.344421663	0.87375
258	0.3442705679	0.87375
259	0.3440149975	0.87375
260	0.3439915969	0.87375
261	0.3438606776	0.87375
262	0.3437716716	0.87375
263	0.343421321	0.8725
264	0.3432956115	0.8725
265	0.3430736044	0.87375
266	0.3429764914	0.87375
267	0.3426696359	0.87375
268	0.3425508376	0.87375
269	0.3425054027	0.87375
270	0.3421429561	0.87375
