iter	Passed	Remaining
0	3	3362
1	7	3627
2	11	3729
3	14	3614
4	16	3374
5	22	3765
6	25	3611
7	30	3755
8	34	3806
9	38	3837
10	41	3705
11	46	3849
12	50	3859
13	54	3852
14	57	3796
15	62	3866
16	66	3824
17	70	3827
18	73	3810
19	78	3851
20	82	3855
21	87	3893
22	92	3928
23	95	3883
24	98	3855
25	103	3888
26	108	3917
27	111	3862
28	116	3892
29	120	3905
30	126	3942
31	129	3930
32	134	3935
33	138	3933
34	140	3884
35	144	3858
36	147	3826
37	151	3838
38	157	3871
39	160	3841
40	164	3853
41	167	3828
42	172	3849
43	176	3837
44	182	3868
45	183	3806
46	187	3805
47	193	3839
48	199	3869
49	202	3843
50	204	3803
51	207	3789
52	208	3723
53	211	3699
54	215	3699
55	218	3676
56	221	3671
57	224	3651
58	229	3664
59	232	3641
60	234	3607
61	238	3615
62	240	3583
63	244	3571
64	247	3564
65	251	3559
66	255	3556
67	258	3542
68	262	3546
69	266	3534
70	271	3547
71	275	3553
72	280	3555
73	284	3555
74	288	3553
75	291	3548
76	295	3539
77	298	3522
78	301	3516
79	304	3498
80	308	3500
81	311	3481
82	312	3454
83	313	3421
84	316	3405
85	318	3386
86	321	3371
87	324	3365
88	326	3338
89	328	3323
90	330	3297
91	333	3294
92	335	3275
93	338	3263
94	339	3234
95	341	3216
96	343	3194
97	345	3180
98	347	3166
99	350	3155
100	353	3142
101	355	3132
102	358	3118
103	360	3106
104	363	3097
105	366	3087
106	367	3064
107	369	3053
108	373	3050
109	375	3037
110	376	3013
111	378	3003
112	381	2990
113	382	2973
114	384	2962
115	388	2957
116	390	2946
117	392	2931
118	394	2922
119	397	2912
120	399	2900
121	402	2895
122	404	2886
123	406	2874
124	409	2866
125	412	2858
126	414	2847
127	416	2837
128	419	2834
129	422	2825
130	423	2812
131	425	2799
132	428	2790
133	429	2772
134	430	2760
135	431	2744
136	435	2742
137	437	2731
138	438	2718
139	441	2710
140	444	2709
141	447	2703
142	450	2700
143	454	2699
144	456	2693
145	460	2694
146	462	2685
147	464	2676
148	467	2672
149	470	2665
150	474	2669
151	482	2693
152	486	2692
153	487	2680
154	492	2684
155	495	2679
156	497	2670
157	500	2665
158	501	2651
159	503	2640
160	504	2631
161	508	2628
162	510	2621
163	511	2608
164	514	2606
165	517	2599
166	519	2593
167	522	2585
168	525	2583
169	527	2575
170	529	2567
171	531	2560
172	533	2550
173	535	2541
174	535	2525
175	538	2523
176	541	2518
177	542	2504
178	544	2496
179	547	2493
180	548	2483
181	550	2474
182	553	2470
183	556	2466
184	558	2460
185	562	2461
186	565	2457
187	567	2449
188	568	2441
189	572	2439
190	573	2428
191	575	2421
192	578	2418
193	580	2412
194	582	2404
195	585	2401
196	588	2399
197	590	2393
198	594	2392
199	597	2389
200	599	2382
201	602	2381
202	605	2375
203	606	2367
204	607	2357
205	610	2353
206	612	2346
207	614	2341
208	618	2341
209	621	2336
210	624	2335
211	628	2337
212	630	2328
213	632	2324
214	635	2319
215	637	2314
216	640	2310
217	641	2302
218	644	2298
219	646	2293
220	649	2288
221	652	2287
222	654	2281
223	658	2281
224	659	2272
225	662	2269
226	665	2266
227	668	2262
228	672	2264
229	676	2264
230	678	2259
231	681	2255
232	684	2253
233	687	2249
234	689	2245
235	691	2239
236	694	2234
237	696	2228
238	698	2224
239	701	2220
240	704	2219
241	707	2214
242	710	2213
243	713	2210
244	716	2206
245	718	2202
246	721	2200
247	723	2192
248	725	2187
249	727	2181
250	730	2178
251	732	2174
252	734	2169
253	737	2165
254	740	2162
255	743	2159
256	746	2159
257	749	2154
258	751	2149
259	753	2145
260	756	2142
261	759	2138
262	761	2134
263	765	2133
264	767	2129
265	771	2127
266	773	2124
267	775	2119
268	779	2117
269	781	2113
270	784	2109
271	786	2104
272	787	2098
273	790	2094
274	792	2089
275	796	2088
276	797	2082
277	800	2077
278	803	2076
279	804	2069
280	806	2064
281	808	2058
282	811	2056
283	813	2050
284	815	2045
285	817	2040
286	820	2038
287	822	2032
288	824	2028
289	827	2024
290	829	2020
291	831	2017
292	834	2014
293	837	2010
294	839	2005
295	845	2010
296	894	2117
297	898	2115
298	901	2113
299	905	2112
300	909	2111
301	911	2106
302	913	2101
303	917	2099
304	919	2096
305	921	2090
306	925	2088
307	928	2085
308	931	2082
309	933	2078
310	936	2073
311	938	2069
312	941	2065
313	943	2061
314	946	2057
315	949	2054
316	951	2049
317	953	2045
318	956	2042
319	958	2037
320	960	2031
321	964	2029
322	966	2024
323	967	2019
324	970	2014
325	973	2011
326	975	2007
327	977	2003
328	980	2000
329	982	1995
330	984	1990
331	988	1987
332	990	1983
333	992	1979
334	995	1976
335	998	1972
336	1001	1970
337	1005	1968
338	1007	1964
339	1010	1961
340	1013	1958
341	1016	1955
342	1018	1951
343	1021	1947
344	1023	1943
345	1025	1937
346	1028	1935
347	1030	1931
348	1032	1926
349	1035	1923
350	1037	1918
351	1039	1912
352	1041	1909
353	1044	1906
354	1046	1900
355	1048	1896
356	1051	1893
357	1053	1889
358	1055	1885
359	1058	1881
360	1060	1877
361	1062	1873
362	1066	1870
363	1067	1866
364	1070	1862
365	1073	1859
366	1076	1856
367	1078	1852
368	1080	1847
369	1083	1845
370	1088	1844
371	1091	1842
372	1093	1838
373	1096	1835
374	1101	1835
375	1106	1835
376	1109	1832
377	1111	1829
378	1115	1826
379	1117	1823
380	1120	1819
381	1122	1816
382	1125	1812
383	1127	1807
384	1129	1803
385	1132	1800
386	1134	1796
387	1136	1792
388	1139	1790
389	1141	1785
390	1144	1782
391	1146	1778
392	1149	1775
393	1152	1772
394	1155	1769
395	1169	1783
396	1174	1784
397	1178	1783
398	1183	1782
399	1187	1781
400	1191	1779
401	1193	1775
402	1196	1772
403	1198	1768
404	1202	1766
405	1206	1764
406	1207	1759
407	1210	1755
408	1213	1754
409	1216	1750
410	1218	1746
411	1221	1743
412	1224	1740
413	1226	1736
414	1229	1733
415	1232	1730
416	1236	1728
417	1238	1724
418	1241	1721
419	1244	1719
420	1248	1717
421	1250	1713
422	1253	1709
423	1256	1706
424	1258	1702
425	1262	1700
426	1264	1697
427	1266	1693
428	1269	1689
429	1271	1685
430	1273	1681
431	1276	1678
432	1279	1675
433	1281	1671
434	1284	1668
435	1287	1665
436	1289	1660
437	1292	1658
438	1295	1655
439	1297	1651
440	1302	1651
441	1310	1653
442	1313	1650
443	1316	1648
444	1319	1645
445	1321	1641
446	1325	1639
447	1327	1636
448	1330	1632
449	1332	1629
450	1335	1625
451	1341	1626
452	1346	1625
453	1349	1623
454	1352	1619
455	1353	1615
456	1356	1611
457	1359	1608
458	1360	1603
459	1362	1599
460	1365	1596
461	1368	1593
462	1372	1591
463	1374	1588
464	1377	1584
465	1379	1580
466	1382	1577
467	1384	1574
468	1386	1569
469	1389	1566
470	1392	1563
471	1394	1559
472	1396	1556
473	1399	1553
474	1402	1549
475	1404	1546
476	1407	1542
477	1410	1539
478	1413	1537
479	1415	1533
480	1417	1529
481	1420	1526
482	1422	1523
483	1425	1519
484	1427	1515
485	1430	1512
486	1432	1509
487	1434	1505
488	1439	1503
489	1441	1500
490	1443	1496
491	1447	1494
492	1449	1490
493	1451	1486
494	1455	1484
495	1457	1480
496	1459	1477
497	1462	1474
498	1464	1470
499	1466	1466
500	1469	1463
501	1472	1460
502	1474	1456
503	1476	1453
504	1479	1450
505	1482	1447
506	1484	1443
507	1487	1440
