iter	Passed	Remaining
0	3	3590
1	6	3189
2	11	3692
3	15	3795
4	17	3435
5	19	3296
6	23	3280
7	25	3121
8	27	3038
9	30	2991
10	32	2913
11	34	2864
12	37	2850
13	39	2762
14	40	2678
15	44	2708
16	46	2664
17	49	2723
18	52	2698
19	54	2664
20	56	2646
21	59	2656
22	61	2631
23	65	2649
24	66	2598
25	69	2612
26	71	2572
27	73	2556
28	76	2561
29	79	2561
30	80	2509
31	82	2488
32	85	2513
33	87	2493
34	90	2485
35	92	2476
36	94	2471
37	97	2461
38	99	2440
39	102	2459
40	106	2487
41	109	2496
42	112	2503
43	114	2484
44	117	2488
45	119	2484
46	121	2473
47	124	2476
48	127	2478
49	130	2482
50	133	2483
51	134	2449
52	136	2444
53	139	2438
54	142	2442
55	144	2431
56	146	2418
57	147	2391
58	149	2391
59	152	2394
60	155	2395
61	158	2398
62	160	2388
63	162	2378
64	165	2381
65	167	2375
66	168	2353
67	171	2344
68	174	2353
69	176	2347
70	178	2332
71	181	2338
72	183	2326
73	185	2322
74	186	2297
75	188	2296
76	189	2272
77	191	2264
78	193	2259
79	196	2263
80	198	2253
81	201	2250
82	204	2260
83	207	2261
84	209	2257
85	212	2262
86	214	2250
87	215	2231
88	216	2218
89	219	2221
90	222	2226
91	225	2223
92	225	2203
93	228	2200
94	231	2200
95	233	2194
96	236	2203
97	238	2198
98	240	2184
99	242	2180
100	245	2181
101	247	2177
102	249	2171
103	251	2169
104	254	2169
105	257	2170
106	260	2172
107	262	2168
108	265	2169
109	268	2175
110	271	2170
111	273	2165
112	274	2153
113	277	2155
114	279	2149
115	281	2144
116	284	2145
117	286	2142
118	287	2130
119	289	2125
120	293	2130
121	294	2117
122	295	2109
123	298	2105
124	299	2099
125	301	2091
126	304	2092
127	304	2077
128	306	2066
129	309	2070
130	311	2066
131	313	2061
132	316	2063
133	318	2058
134	320	2052
135	321	2045
136	325	2049
137	327	2043
138	328	2035
139	330	2028
140	332	2028
141	334	2018
142	335	2009
143	336	2001
144	340	2005
145	342	2005
146	344	2001
147	347	2001
148	349	1996
149	351	1994
150	353	1987
151	356	1988
152	358	1986
153	361	1983
154	363	1982
155	365	1978
156	367	1974
157	370	1975
158	373	1974
159	375	1972
160	377	1966
161	380	1969
162	384	1972
163	386	1969
164	388	1966
165	389	1957
166	390	1950
167	394	1952
168	397	1956
169	405	1978
170	406	1970
171	408	1967
172	411	1967
173	413	1960
174	415	1958
175	418	1957
176	420	1957
177	423	1953
178	424	1948
179	427	1949
180	430	1947
181	432	1944
182	436	1946
183	437	1941
184	439	1933
185	440	1928
186	443	1927
187	445	1924
188	447	1921
189	450	1920
190	451	1914
191	454	1913
192	455	1904
193	456	1895
194	460	1900
195	463	1901
196	468	1907
197	471	1908
198	473	1906
199	476	1906
200	479	1904
201	481	1903
202	484	1902
203	486	1899
204	488	1894
205	491	1892
206	492	1887
207	494	1884
208	497	1881
209	500	1883
210	503	1882
211	505	1878
212	508	1878
213	510	1875
214	512	1871
215	515	1871
216	517	1867
217	519	1863
218	522	1861
219	524	1860
220	526	1855
221	528	1850
222	529	1846
223	532	1846
224	535	1842
225	537	1841
226	541	1842
227	542	1837
228	545	1835
229	547	1833
230	549	1830
231	551	1826
232	554	1824
233	556	1821
234	558	1817
235	560	1815
236	563	1814
237	565	1811
238	567	1807
239	569	1803
240	571	1798
241	573	1795
242	574	1790
243	577	1787
244	580	1787
245	582	1784
246	584	1780
247	587	1780
248	592	1785
249	596	1790
250	599	1789
251	601	1785
252	605	1787
253	607	1783
254	609	1781
255	613	1781
256	614	1777
257	616	1772
258	619	1771
259	621	1768
260	623	1765
261	625	1762
262	628	1761
263	629	1755
264	631	1752
265	634	1751
266	637	1749
267	639	1745
268	640	1741
269	643	1739
270	646	1738
271	648	1735
272	650	1732
273	654	1733
274	657	1733
275	660	1731
276	662	1729
277	664	1726
278	667	1724
279	669	1721
280	671	1718
281	674	1716
282	676	1714
283	678	1711
284	681	1708
285	684	1707
286	685	1703
287	688	1701
288	690	1699
289	694	1699
290	696	1697
291	699	1696
292	702	1695
293	704	1692
294	707	1691
295	710	1688
296	712	1687
297	716	1686
298	718	1683
299	720	1681
300	723	1680
301	726	1678
302	728	1675
303	730	1672
304	733	1670
305	735	1667
306	737	1664
307	740	1664
308	742	1660
309	744	1658
310	747	1656
311	750	1654
312	752	1651
313	755	1649
314	757	1647
315	759	1643
316	761	1639
317	764	1640
318	767	1637
319	770	1637
320	773	1635
321	775	1632
322	777	1628
323	780	1628
324	784	1629
325	788	1630
326	790	1627
327	792	1623
328	795	1623
329	798	1622
330	801	1619
331	804	1619
332	807	1616
333	809	1614
334	812	1612
335	814	1608
336	815	1605
337	819	1605
338	823	1605
339	826	1604
340	829	1602
341	831	1599
342	833	1595
343	835	1593
344	837	1590
345	839	1587
346	842	1585
347	845	1584
348	848	1581
349	851	1581
350	853	1578
351	856	1575
352	858	1573
353	861	1571
354	863	1568
355	864	1564
356	868	1563
357	870	1561
358	872	1558
359	875	1557
360	878	1554
361	880	1551
362	884	1551
363	887	1550
364	889	1547
365	892	1546
366	894	1543
367	897	1541
368	900	1540
369	903	1537
370	905	1535
371	908	1534
372	910	1530
373	913	1528
374	916	1527
375	918	1524
376	920	1521
377	924	1521
378	926	1518
379	928	1514
380	931	1513
381	933	1510
382	935	1507
383	937	1503
384	940	1502
385	943	1500
386	945	1497
387	948	1496
388	950	1493
389	952	1490
390	955	1487
391	957	1485
392	959	1482
393	967	1488
394	1024	1569
395	1029	1570
396	1032	1567
397	1034	1564
398	1036	1561
399	1038	1558
400	1040	1554
401	1042	1551
402	1045	1549
403	1047	1545
404	1049	1542
405	1052	1539
406	1054	1536
407	1057	1534
408	1060	1532
409	1063	1530
410	1065	1527
411	1068	1524
412	1070	1521
413	1072	1518
414	1075	1516
415	1079	1514
416	1081	1512
417	1084	1509
418	1087	1508
419	1089	1505
420	1093	1503
421	1095	1500
422	1097	1497
423	1100	1495
424	1103	1492
425	1105	1489
426	1108	1487
427	1110	1484
428	1113	1481
429	1115	1479
430	1118	1476
431	1121	1474
432	1124	1471
433	1126	1468
434	1128	1465
435	1130	1462
436	1133	1460
437	1136	1457
438	1138	1454
439	1141	1452
440	1144	1451
441	1146	1447
442	1150	1446
443	1152	1443
444	1154	1440
445	1158	1439
446	1162	1438
447	1167	1438
448	1170	1436
449	1176	1438
450	1180	1437
451	1185	1436
452	1190	1437
453	1194	1436
454	1197	1434
455	1200	1432
456	1202	1429
457	1204	1425
458	1208	1423
459	1210	1420
460	1212	1418
461	1216	1416
462	1218	1413
463	1221	1411
464	1223	1408
465	1226	1405
466	1227	1401
467	1231	1399
468	1233	1396
469	1235	1392
470	1238	1390
471	1239	1387
472	1241	1383
473	1245	1382
474	1248	1380
475	1251	1377
476	1254	1375
477	1257	1372
478	1259	1369
479	1262	1367
