iter	Logloss	Accuracy
0	0.6757082396	0.8025
1	0.6596781288	0.80125
2	0.6444362317	0.8
3	0.6292572031	0.8025
4	0.6159746447	0.8025
5	0.6085465691	0.7975
6	0.5970239703	0.8025
7	0.5862400657	0.80625
8	0.5756445123	0.80375
9	0.5658502886	0.8075
10	0.5556364489	0.80625
11	0.5503672439	0.80625
12	0.5410745227	0.8075
13	0.535406169	0.8075
14	0.5300877204	0.8075
15	0.5233462628	0.80875
16	0.5161100362	0.80875
17	0.5118380439	0.80875
18	0.5059881173	0.81
19	0.5016649897	0.8075
20	0.4989303971	0.8075
21	0.494798889	0.80625
22	0.4914543922	0.80625
23	0.4868537575	0.80625
24	0.4845723146	0.80625
25	0.4807629968	0.8075
26	0.4771955043	0.8075
27	0.4734708821	0.80625
28	0.4695132883	0.80875
29	0.4656723254	0.8075
30	0.4645204982	0.8075
31	0.4601715404	0.80875
32	0.4583548811	0.80875
33	0.4561660199	0.81
34	0.4533374118	0.81125
35	0.4508492553	0.8175
36	0.4488200629	0.81875
37	0.4479632349	0.8175
38	0.4460038156	0.81875
39	0.4440621401	0.81625
40	0.4422901423	0.8175
41	0.440050913	0.81875
42	0.4385461701	0.81875
43	0.4372743401	0.81875
44	0.4357822317	0.81875
45	0.4341523703	0.81875
46	0.4324229478	0.81875
47	0.4312047832	0.82
48	0.4307021191	0.8175
49	0.4297969306	0.81875
50	0.428782728	0.81875
51	0.4280197623	0.81875
52	0.4271825918	0.82
53	0.4262018957	0.82125
54	0.4255524455	0.8225
55	0.4241257505	0.8225
56	0.4225770378	0.82375
57	0.4218668213	0.8225
58	0.4218308416	0.8225
59	0.4214264052	0.82375
60	0.4202622011	0.82375
61	0.4197739402	0.825
62	0.4180075242	0.82625
63	0.4179817215	0.8275
64	0.4179574493	0.8275
65	0.4168269335	0.8275
66	0.4151368718	0.83
67	0.4145107656	0.83
68	0.4137613828	0.83
69	0.4129396063	0.83
70	0.4126808345	0.83
71	0.4120932602	0.83
72	0.4114787401	0.83
73	0.4103270247	0.83
74	0.4098887079	0.83
75	0.4096952587	0.83
76	0.409459997	0.83
77	0.4090236837	0.83125
78	0.4077904296	0.8325
79	0.4077816598	0.8325
80	0.4073625277	0.8325
81	0.406873551	0.8325
82	0.4062380151	0.8325
83	0.4055765364	0.8325
84	0.4051461463	0.8325
85	0.4049052214	0.8325
86	0.4045548903	0.8325
87	0.4043323494	0.8325
88	0.4038648584	0.8325
89	0.4035246665	0.8325
90	0.4032726421	0.8325
91	0.4030791108	0.8325
92	0.4021990281	0.8325
93	0.4021190937	0.8325
94	0.4016888781	0.8325
95	0.4015154799	0.8325
96	0.4011558826	0.83375
97	0.4005370933	0.83375
98	0.4005346979	0.83375
99	0.4002236615	0.83375
100	0.3999681111	0.83375
101	0.3998976923	0.83375
102	0.3995928684	0.8325
103	0.3992382217	0.83125
104	0.3987174813	0.83125
105	0.3984890137	0.8325
106	0.3981948329	0.83375
107	0.398048305	0.83375
108	0.3977374745	0.8325
109	0.3975855825	0.83375
110	0.3973417169	0.83375
111	0.3972416026	0.83375
112	0.3968912332	0.83375
113	0.3966777772	0.8325
114	0.3957427113	0.83375
115	0.3953686861	0.8325
116	0.3952741715	0.8325
117	0.3952734502	0.8325
118	0.3946199614	0.8325
119	0.3944290145	0.8325
120	0.3942278156	0.8325
121	0.3938493651	0.83375
122	0.3931437619	0.83375
123	0.3927614168	0.83375
124	0.3924994841	0.83375
125	0.3923303327	0.835
126	0.3920693424	0.835
127	0.3920206919	0.835
128	0.3913285857	0.835
129	0.3908568174	0.83625
130	0.3904728309	0.83625
131	0.3904725556	0.83625
132	0.3899450848	0.83625
133	0.3898968769	0.8375
134	0.3897392479	0.8375
135	0.3894669682	0.8375
136	0.389070536	0.83625
137	0.3887858906	0.83875
138	0.3885684269	0.8375
139	0.3884367758	0.8375
140	0.3880969358	0.8375
141	0.3879467194	0.83875
142	0.3879235911	0.83875
143	0.3878551815	0.83875
144	0.3878550565	0.83875
145	0.3873902151	0.8375
146	0.3872427651	0.8375
147	0.3872199107	0.83875
148	0.3866692894	0.83875
149	0.3866691836	0.83875
150	0.3866691686	0.83875
151	0.3863342702	0.84
152	0.3862616449	0.84
153	0.3861993549	0.84
154	0.3856116257	0.84125
155	0.3851664521	0.8425
156	0.3851372924	0.8425
157	0.384926625	0.8425
158	0.3844620166	0.84125
159	0.3842061542	0.84
160	0.3840264019	0.84125
161	0.383984512	0.84125
162	0.3839832095	0.84125
163	0.3836713953	0.84125
164	0.3836144379	0.84125
165	0.3832094446	0.8425
166	0.38313491	0.8425
167	0.3826655837	0.8425
168	0.3826416298	0.8425
169	0.3821815428	0.8425
170	0.3819907052	0.8425
171	0.380917109	0.84375
172	0.3808957503	0.84375
173	0.3808041663	0.84375
174	0.3808003529	0.84375
175	0.3807002881	0.84375
176	0.3805466247	0.8425
177	0.3802996195	0.84375
178	0.3802515034	0.84375
179	0.3799630608	0.8425
180	0.3797440261	0.8425
181	0.3793197227	0.8425
182	0.379157093	0.8425
183	0.3789243067	0.8425
184	0.3788671453	0.8425
185	0.3786331649	0.8425
186	0.378482508	0.8425
187	0.3784534835	0.8425
188	0.3779587168	0.8425
189	0.377912463	0.8425
190	0.3778574584	0.8425
191	0.3778341402	0.8425
192	0.3776702253	0.845
193	0.3775326254	0.845
194	0.3775071738	0.845
195	0.3775071737	0.845
196	0.3769704602	0.845
197	0.3764879352	0.845
198	0.3762399434	0.845
199	0.3760530309	0.845
200	0.3755622076	0.845
201	0.3751236214	0.84625
202	0.3750059735	0.84625
203	0.3748247755	0.84625
204	0.3743460393	0.84625
205	0.3741437223	0.84625
206	0.3739931288	0.84625
207	0.3739890013	0.84625
208	0.3739889997	0.84625
209	0.3738028591	0.84625
210	0.3738002984	0.84625
211	0.3736878551	0.8475
212	0.373618999	0.8475
213	0.3734508734	0.84625
214	0.3733771633	0.8475
215	0.3733096179	0.8475
216	0.3732279273	0.8475
217	0.373225339	0.8475
218	0.3729550686	0.8475
219	0.3729079551	0.8475
220	0.3726982679	0.84625
221	0.3723858607	0.8475
222	0.3721226029	0.84625
223	0.3720614263	0.84625
224	0.3716689461	0.84625
225	0.371515774	0.84625
226	0.3714468167	0.84625
227	0.3712937365	0.84625
228	0.3712292854	0.84625
229	0.3711157822	0.84625
230	0.370817095	0.8475
231	0.3700010891	0.84625
232	0.3698227104	0.8475
233	0.3693595496	0.8475
234	0.3691360424	0.8475
235	0.3689627997	0.8475
236	0.3687569921	0.8475
237	0.3685302749	0.8475
238	0.3680819388	0.8475
239	0.3672920102	0.84875
240	0.3665172651	0.84875
241	0.36619402	0.85
242	0.3659607918	0.85
243	0.3659587153	0.85
244	0.3658633935	0.85
245	0.3651903582	0.85
246	0.3650228797	0.85
247	0.3648741258	0.85
248	0.3645708406	0.85
249	0.3645285254	0.85
250	0.3644273408	0.85
251	0.3637720996	0.85125
252	0.3632605193	0.85125
253	0.3629752639	0.85125
254	0.362392446	0.85125
255	0.3620421128	0.85125
256	0.3619500151	0.85125
257	0.3618275032	0.85125
258	0.3615104389	0.85125
259	0.361165493	0.85125
260	0.3610744925	0.85125
261	0.3603421207	0.85
262	0.3600404668	0.85
263	0.3597962074	0.85
264	0.359445777	0.85
265	0.3591534658	0.85125
266	0.3590029102	0.85125
267	0.3589799475	0.85125
268	0.3588025864	0.8525
269	0.3586150613	0.8525
270	0.358447352	0.85375
271	0.3582183242	0.85375
272	0.3578700021	0.85375
273	0.3574117839	0.8525
274	0.3573333851	0.8525
275	0.3571255297	0.8525
276	0.3568189382	0.855
277	0.3564927225	0.855
278	0.3559515278	0.85625
279	0.355623799	0.85625
280	0.3552162517	0.85625
281	0.3549099502	0.85625
282	0.3546865129	0.855
283	0.3544389849	0.855
284	0.3543919519	0.855
285	0.3541987329	0.855
286	0.3539691236	0.855
287	0.3536917417	0.855
288	0.3534927485	0.855
289	0.353382604	0.855
290	0.3530891267	0.855
291	0.3530385574	0.855
292	0.3528752358	0.855
293	0.3521347979	0.855
294	0.3519860988	0.855
295	0.3513771742	0.85625
296	0.3513536457	0.85625
297	0.3510366503	0.85875
298	0.3509332912	0.85875
299	0.3505840077	0.85875
300	0.3503785682	0.85875
301	0.3499667886	0.86125
302	0.3496016179	0.86125
303	0.3492218601	0.86125
304	0.348981548	0.86125
305	0.3486506743	0.86125
306	0.3483835829	0.86
307	0.3480591685	0.86
308	0.3477571598	0.86125
