iter	Passed	Remaining
0	2	2449
1	4	2392
2	7	2647
3	9	2473
4	12	2470
5	14	2441
6	17	2545
7	20	2511
8	22	2501
9	25	2544
10	27	2517
11	29	2425
12	31	2406
13	34	2407
14	36	2366
15	38	2385
16	41	2385
17	43	2386
18	46	2406
19	49	2404
20	50	2350
21	52	2342
22	55	2356
23	57	2340
24	59	2316
25	62	2345
26	64	2332
27	66	2322
28	69	2323
29	72	2331
30	73	2284
31	75	2272
32	78	2303
33	80	2294
34	83	2291
35	85	2300
36	88	2300
37	89	2269
38	91	2260
39	95	2281
40	97	2285
41	100	2296
42	104	2319
43	106	2313
44	108	2306
45	112	2324
46	114	2330
47	116	2315
48	118	2301
49	120	2294
50	123	2290
51	126	2301
52	128	2288
53	129	2271
54	131	2258
55	133	2252
56	137	2266
57	139	2261
58	140	2239
59	143	2246
60	145	2238
61	147	2231
62	150	2241
63	151	2219
64	153	2205
65	157	2227
66	160	2236
67	163	2236
68	165	2238
69	168	2234
70	170	2229
71	172	2224
72	175	2227
73	177	2219
74	179	2214
75	182	2213
76	183	2202
77	185	2195
78	188	2194
79	189	2183
80	192	2187
81	195	2190
82	197	2185
83	200	2185
84	202	2175
85	203	2167
86	206	2171
87	209	2168
88	212	2171
89	215	2174
90	217	2168
91	218	2160
92	220	2154
93	223	2151
94	225	2148
95	227	2139
96	229	2138
97	232	2137
98	232	2120
99	234	2110
100	237	2117
101	240	2119
102	242	2115
103	244	2109
104	248	2120
105	251	2120
106	255	2128
107	257	2125
108	259	2122
109	261	2118
110	264	2116
111	265	2107
112	268	2104
113	271	2107
114	274	2111
115	337	2575
116	343	2589
117	344	2575
118	347	2575
119	350	2571
120	355	2581
121	357	2575
122	360	2572
123	363	2565
124	365	2556
125	368	2554
126	370	2547
127	372	2536
128	374	2531
129	377	2524
130	379	2516
131	380	2502
132	383	2501
133	384	2485
134	386	2477
135	389	2472
136	392	2470
137	394	2464
138	396	2456
139	399	2456
140	402	2449
141	404	2441
142	406	2434
143	408	2428
144	409	2414
145	411	2408
146	413	2398
147	416	2396
148	418	2393
149	419	2379
150	420	2365
151	423	2362
152	425	2356
153	427	2347
154	429	2343
155	432	2340
156	436	2341
157	439	2340
158	442	2338
159	444	2331
160	446	2326
161	449	2326
162	450	2315
163	453	2310
164	456	2307
165	458	2302
166	460	2296
167	463	2293
168	464	2286
169	467	2281
170	469	2275
171	472	2274
172	473	2265
173	475	2257
174	477	2248
175	480	2250
176	482	2244
177	485	2241
178	487	2236
179	489	2229
180	492	2227
181	495	2225
182	498	2223
183	499	2216
184	502	2211
185	504	2208
186	506	2202
187	508	2195
188	511	2193
189	513	2188
190	514	2177
191	515	2171
192	518	2167
193	520	2163
194	522	2158
195	524	2150
196	527	2148
197	530	2147
198	533	2147
199	536	2144
200	537	2138
201	540	2135
202	543	2134
203	548	2138
204	555	2152
205	557	2149
206	561	2150
207	562	2142
208	563	2132
209	565	2125
210	566	2119
211	569	2117
212	570	2109
213	572	2104
214	576	2103
215	578	2098
216	580	2093
217	582	2088
218	585	2086
219	587	2081
220	588	2075
221	591	2072
222	594	2071
223	596	2066
224	599	2064
225	602	2063
226	604	2057
227	607	2057
228	609	2053
229	611	2047
230	613	2042
231	616	2041
232	618	2036
233	620	2032
234	623	2029
235	626	2029
236	629	2025
237	631	2022
238	635	2022
239	637	2019
240	640	2017
241	642	2012
242	644	2008
243	646	2001
244	648	1999
245	651	1996
246	653	1991
247	656	1989
248	659	1988
249	662	1986
250	664	1984
251	667	1981
252	669	1977
253	672	1976
254	675	1972
255	678	1971
256	682	1972
257	684	1968
258	687	1967
259	689	1962
260	690	1956
261	693	1952
262	695	1949
263	697	1944
264	699	1940
265	702	1938
266	704	1933
267	705	1927
268	707	1921
269	709	1917
270	712	1915
271	713	1910
272	716	1906
273	718	1905
274	722	1903
275	724	1900
276	728	1900
277	731	1900
278	733	1896
279	737	1895
280	739	1891
281	743	1893
282	747	1894
283	752	1896
284	754	1893
285	757	1890
286	759	1886
287	762	1884
288	764	1880
289	767	1877
290	769	1875
291	771	1871
292	774	1867
293	777	1866
294	779	1863
295	781	1858
296	784	1857
297	787	1855
298	789	1851
299	793	1850
300	794	1845
301	796	1841
302	799	1839
303	802	1836
304	804	1833
305	806	1829
306	809	1827
307	812	1824
308	814	1820
309	818	1821
310	820	1817
311	822	1813
312	825	1810
313	827	1807
314	829	1804
315	833	1803
316	836	1801
317	838	1798
318	841	1795
319	843	1791
320	845	1787
321	847	1785
322	849	1781
323	852	1777
324	854	1774
325	857	1772
326	859	1768
327	861	1765
328	864	1763
329	866	1760
330	869	1756
331	872	1755
332	874	1751
333	876	1748
334	879	1745
335	881	1742
336	884	1739
337	886	1735
338	889	1733
339	891	1730
340	894	1728
341	897	1727
342	899	1722
343	902	1720
344	905	1719
345	908	1716
346	910	1713
347	913	1711
348	916	1708
349	918	1705
350	922	1704
351	924	1701
352	926	1697
353	929	1695
354	931	1692
355	933	1688
356	937	1688
357	941	1688
358	946	1689
359	947	1684
360	949	1681
361	952	1678
362	955	1677
363	957	1673
364	960	1670
365	962	1667
366	965	1664
367	967	1661
