iter	Logloss	Accuracy
0	0.6741956754	0.8075
1	0.6551890032	0.8025
2	0.638082178	0.81
3	0.6233473581	0.80625
4	0.6071159358	0.80625
5	0.5940834898	0.80375
6	0.5810052181	0.81125
7	0.5712627386	0.80875
8	0.5615765922	0.81
9	0.556228878	0.80625
10	0.5478798755	0.80625
11	0.5416762455	0.8075
12	0.5345439457	0.8075
13	0.5295938109	0.80875
14	0.5206895424	0.8075
15	0.512542381	0.80875
16	0.5066321394	0.80875
17	0.5001863133	0.8075
18	0.4974610768	0.80875
19	0.4929379708	0.81
20	0.4869140559	0.81
21	0.4813909759	0.81375
22	0.4765189441	0.815
23	0.4739913931	0.81375
24	0.4692684777	0.81625
25	0.4673406274	0.815
26	0.4639593864	0.815
27	0.4602017734	0.81625
28	0.4587899319	0.8125
29	0.4566228746	0.8125
30	0.4540581953	0.81375
31	0.4504926176	0.81375
32	0.4477193961	0.81375
33	0.4454696546	0.815
34	0.4451779656	0.815
35	0.4418379298	0.82
36	0.4416356861	0.81875
37	0.4404393039	0.82
38	0.4383811575	0.82
39	0.4364371458	0.82
40	0.4350971993	0.82
41	0.4334904781	0.82
42	0.4322170041	0.82
43	0.4305555186	0.82125
44	0.4299641162	0.82125
45	0.4285712088	0.82
46	0.4278998665	0.82
47	0.426065173	0.82125
48	0.4242192081	0.82125
49	0.4219279328	0.82125
50	0.4207975282	0.8225
51	0.4207130438	0.8225
52	0.420066271	0.8225
53	0.4182448191	0.8225
54	0.4176320215	0.82
55	0.416283437	0.82125
56	0.4152986665	0.82125
57	0.4146828371	0.82375
58	0.4139346804	0.82375
59	0.4134951416	0.82375
60	0.4128212014	0.82375
61	0.4120582277	0.82375
62	0.4108633687	0.8225
63	0.4094146536	0.825
64	0.4079001494	0.82625
65	0.4071401413	0.82625
66	0.4062686087	0.8275
67	0.4049131514	0.8275
68	0.404266039	0.8275
69	0.4031913092	0.8275
70	0.4027630064	0.8275
71	0.4023977493	0.8275
72	0.4016410969	0.8275
73	0.4009445425	0.8275
74	0.40000289	0.83125
75	0.3999819544	0.83125
76	0.3996427416	0.83
77	0.3993721933	0.83
78	0.3990206248	0.83125
79	0.3980776223	0.83
80	0.3978034508	0.83125
81	0.3977922414	0.83125
82	0.3976086707	0.83125
83	0.3972799392	0.83125
84	0.3971593438	0.83125
85	0.3964857391	0.8325
86	0.3960402217	0.83125
87	0.3953885855	0.83375
88	0.395071635	0.83125
89	0.3946238462	0.83125
90	0.3939449163	0.83125
91	0.3936727475	0.8325
92	0.393490386	0.8325
93	0.3927309957	0.835
94	0.3922529752	0.835
95	0.3919460916	0.835
96	0.3913096996	0.83625
97	0.3912335993	0.83625
98	0.390915989	0.8375
99	0.3906343696	0.8375
100	0.3906298719	0.8375
101	0.3905301725	0.8375
102	0.3899195944	0.8375
103	0.3896137767	0.8375
104	0.3892579644	0.835
105	0.389049994	0.835
106	0.3887058159	0.8375
107	0.3886202372	0.8375
108	0.3882073167	0.83875
109	0.3879438382	0.83875
110	0.3875559825	0.8375
111	0.3873694302	0.8375
112	0.3870739345	0.8375
113	0.3861178954	0.8375
114	0.3852007332	0.8375
115	0.3851996065	0.8375
116	0.3851067407	0.8375
117	0.384858465	0.8375
118	0.3846022788	0.8375
119	0.3841449463	0.8375
120	0.3837866029	0.8375
121	0.3833745232	0.84
122	0.3829236307	0.84
123	0.3826316756	0.84
124	0.3825257827	0.84125
125	0.3824925313	0.84125
126	0.3820128114	0.84
127	0.3813190122	0.8425
128	0.3810954557	0.84375
129	0.3804674983	0.8425
130	0.3797067252	0.84375
131	0.3794663523	0.84375
132	0.3788906769	0.84375
133	0.3786021357	0.84375
134	0.377732254	0.84375
135	0.3776729566	0.84625
136	0.3776726292	0.84625
137	0.3772563537	0.84625
138	0.3770424589	0.84625
139	0.3765725884	0.84625
140	0.3761665631	0.8475
141	0.3756790568	0.8475
142	0.3755391723	0.84875
143	0.3754119122	0.84875
144	0.3749454308	0.84875
145	0.3745257344	0.84875
146	0.3742612485	0.84875
147	0.3738964586	0.85
148	0.3737575041	0.85
149	0.3731749947	0.85
150	0.3728358285	0.85
151	0.3724104224	0.85
152	0.3718456583	0.85
153	0.3718372186	0.85
154	0.3718372088	0.85
155	0.3718277565	0.85
156	0.3717424561	0.85
157	0.3717152428	0.85
158	0.3715518333	0.85
159	0.3713430388	0.85
160	0.3711447064	0.85
161	0.3711447058	0.85
162	0.3708320821	0.85125
163	0.3706317542	0.85125
164	0.3704471192	0.85125
165	0.370196051	0.85125
166	0.3697906879	0.8525
167	0.3695731019	0.8525
168	0.3693522398	0.8525
169	0.3689726144	0.8525
170	0.3686898276	0.85375
171	0.36778128	0.855
172	0.3677049073	0.85375
173	0.3677049063	0.85375
174	0.3672849528	0.855
175	0.3670223961	0.85625
176	0.3669651602	0.85625
177	0.3668878123	0.85625
178	0.3664957229	0.855
179	0.366169506	0.85625
180	0.3657187317	0.8575
181	0.3651935823	0.8575
182	0.3651176646	0.8575
183	0.3648088876	0.85875
184	0.3647808038	0.86
185	0.3647205952	0.86125
186	0.3643204783	0.86
187	0.3642010925	0.86
188	0.3640277596	0.86
189	0.3638382871	0.86
190	0.3634954231	0.86
191	0.3633294967	0.86125
192	0.3629519669	0.86
193	0.3629015593	0.86
194	0.3626764128	0.85875
195	0.36209473	0.86
196	0.3613605664	0.86125
197	0.3607643356	0.86375
198	0.360626202	0.86375
199	0.3605772546	0.8625
200	0.3605772542	0.8625
201	0.3601217098	0.8625
202	0.3595211749	0.8625
203	0.3592796792	0.86375
204	0.3588894568	0.86625
205	0.3587468865	0.865
206	0.3584622534	0.865
207	0.3580104264	0.86625
208	0.3577377643	0.86625
209	0.3574900356	0.8675
210	0.3573991943	0.8675
211	0.357369059	0.8675
212	0.357369059	0.8675
213	0.3572563104	0.8675
214	0.3571547302	0.8675
215	0.3566011415	0.8675
216	0.3565149091	0.8675
217	0.3562342438	0.8675
218	0.3560005765	0.8675
219	0.3554387183	0.86625
220	0.3550846106	0.8675
221	0.3547537613	0.86875
222	0.3542925049	0.87
223	0.3540802615	0.87
224	0.3537336808	0.87
225	0.3534632242	0.87
226	0.3530995514	0.87
227	0.3527369595	0.8725
228	0.3524306826	0.8725
229	0.3520855815	0.8725
230	0.3520168897	0.8725
231	0.351528397	0.87125
232	0.3512749557	0.8725
233	0.3512513212	0.8725
234	0.3512049383	0.8725
235	0.3506429689	0.8725
236	0.3500450777	0.875
237	0.3499316402	0.875
238	0.3498429382	0.875
